AKL,Canterbury,Otago
199.0833333,147.5,154.5833333
216.8333333,152.9166667,161.1666667
246,163,168.8333333
271.8333333,172.4166667,169
277.6666667,176.5833333,163.6666667
269.0833333,174.6666667,161
263.75,171.5833333,179.0833333
266.1666667,175.1666667,176.5833333
275.1666667,178.3333333,185.75
300.3333333,191.75,200.8333333
324.9166667,212.9166667,220.4166667
330.8333333,231.4166667,245.0833333
333.5833333,241.5833333,258.25
342.0833333,254,261.4166667
363.0833333,267.9166667,273.25
380.1666667,280.4166667,283.75
382.0833333,278,289.3333333
394.1666667,284.1666667,291.9166667
414.75,302.8333333,310.0833333
430.4166667,329.5833333,317
444.8333333,366.5833333,327
463.5833333,394.9166667,341.8333333
493.6666667,388.1666667,359
514.5833333,385.1666667,385.1666667
534.3333333,367.8333333,415
549.4285714,374.1428571,424.2857143
