Waikato,Wellington,National total
134.1666667,177.75,161.9166667
138.6666667,184.25,171.25
150.5833333,194,185.3333333
162.4166667,211.25,200.5
169.5833333,222.5,207.0833333
171.1666667,229.8333333,206.8333333
172,234.8333333,206.3333333
170.3333333,236.4166667,208.25
171.25,240.3333333,214.0833333
178.75,247.1666667,228.0833333
194.1666667,256.4166667,246.5833333
210.6666667,267.9166667,259.1666667
224.0833333,277.9166667,268.4166667
237.75,295.9166667,280.4166667
253.9166667,323.1666667,298.9166667
265.3333333,344.5,313
268.9166667,351.8333333,314.9166667
272.6666667,363.5,323.1666667
278.3333333,365.25,334.4166667
283.5833333,371.4166667,347.4166667
290.3333333,379.5,361.6666667
297.5,390.1666667,376.5833333
310.1666667,400.0833333,394.6666667
333.6666667,420.5833333,412.9166667
357.3333333,444.6666667,431.75
216.6666667,278.25,261.5833333
