@relation RentalCost
@attribute Year real
@attribute AKL_rental_mean real
@attribute Canterbury_rental_mean real
@attribute Otago_rental_mean real
@attribute Waikato_rental_mean real
@attribute Wellington_rental_mean real
@attribute National_renta_mean real
@attribute AKL_population real
@attribute Canterbury_population real
@attribute Otago_population real
@attribute Waikato_population real
@attribute Wellington_population real
@attribute National_total_population real
@attribute AKL_enrol real
@attribute Canterbury_enrol real
@attribute Otago_enrol real
@attribute Waikato_enrol real
@attribute Wellinton_enrol real
@attribute Total_enrol real
@attribute rental_cost_changing real
@attribute GDP real
@attribute Wellington_House_Value real
@data
1993,199.0833333,147.5,154.5833333,134.1666667,177.75,161.9166667,?,?,?,?,?,?,?,?,?,?,?,?,0,46.78,?
1994,216.8333333,152.9166667,161.1666667,138.6666667,184.25,171.25,?,?,?,?,?,?,?,?,?,?,?,?,6.5,55.32,?
1995,246,163,168.8333333,150.5833333,194,185.3333333,?,?,?,?,?,?,?,?,?,?,?,?,9.75,63.92,?
1996,271.8333333,172.4166667,169,162.4166667,211.25,200.5,1115800,480400,189300,358800,426900,3732000,?,?,?,?,?,?,17.25,70.14,?
1997,277.6666667,176.5833333,163.6666667,169.5833333,222.5,207.0833333,?,?,?,?,?,?,?,?,?,?,?,?,11.25,66.07,?
1998,269.0833333,174.6666667,161,171.1666667,229.8333333,206.8333333,?,?,?,?,?,?,?,?,?,?,?,?,7.3333333,56.23,?
1999,263.75,171.5833333,179.0833333,172,234.8333333,206.3333333,?,?,?,?,?,?,?,?,?,?,?,?,5,58.76,?
2000,266.1666667,175.1666667,176.5833333,170.3333333,236.4166667,208.25,?,?,?,?,?,?,?,?,?,?,?,?,1.5833334,52.62,?
2001,275.1666667,178.3333333,185.75,171.25,240.3333333,214.0833333,1218300,496700,188300,368400,440200,3880500,?,?,?,?,?,?,3.9166666,53.87,?
2002,300.3333333,191.75,200.8333333,178.75,247.1666667,228.0833333,?,?,?,?,?,?,?,?,?,?,?,?,6.8333334,66.63,?
2003,324.9166667,212.9166667,220.4166667,194.1666667,256.4166667,246.5833333,?,?,?,?,?,?,?,?,?,?,?,?,9.25,88.25,?
2004,330.8333333,231.4166667,245.0833333,210.6666667,267.9166667,259.1666667,?,?,?,?,?,?,?,?,?,?,?,?,11.5,103.9,?
2005,333.5833333,241.5833333,258.25,224.0833333,277.9166667,268.4166667,?,?,?,?,?,?,?,?,?,?,?,?,10,114.7,?
2006,342.0833333,254,261.4166667,237.75,295.9166667,280.4166667,1373000,540000,199800,393200,466300,4184600,?,?,?,?,?,?,18,111.6,?
2007,363.0833333,267.9166667,273.25,253.9166667,323.1666667,298.9166667,1390400,547400,201000,397300,469300,4223800,?,?,?,?,?,?,27.25,137.3,?
2008,380.1666667,280.4166667,283.75,265.3333333,344.5,313,1405500,553800,202100,401600,471800,4259800,61795,26845,20645,12185,21930,143400,21.3333333,133,?
2009,382.0833333,278,289.3333333,268.9166667,351.8333333,314.9166667,1421700,560600,203300,406600,475600,4302600,64800,27395,21345,13225,22925,149690,7.3333333,121.3,?
2010,394.1666667,284.1666667,291.9166667,272.6666667,363.5,323.1666667,1439600,567700,204600,412400,479400,4350700,67010,27150,21950,12840,22880,151830,11.6666667,146.6,?
2011,414.75,302.8333333,310.0833333,278.3333333,365.25,334.4166667,1459600,559300,206600,417300,483400,4384000,65530,21935,21640,12820,22560,144485,1.75,168.5,?
2012,430.4166667,329.5833333,317,283.5833333,371.4166667,347.4166667,1476500,556000,207400,421500,485100,4408100,66370,22345,21240,12885,21195,144035,6.1666667,176.2,?
2013,444.8333333,366.5833333,327,290.3333333,379.5,361.6666667,1493200,562900,208800,424600,486700,4442100,67285,20495,20965,12695,21480,142920,8.0833333,190.5,?
2014,463.5833333,394.9166667,341.8333333,297.5,390.1666667,376.5833333,1526900,574300,211600,430800,491400,4509700,68245,18950,20935,12520,21190,141840,10.6666667,200.7,534748
2015,493.6666667,388.1666667,359,310.1666667,400.0833333,394.6666667,1569900,586400,215000,439100,496900,4595700,68770,19175,20690,12560,21450,142645,9.9166666,177.62,543754
2016,514.5833333,385.1666667,385.1666667,333.6666667,420.5833333,412.9166667,1614500,599900,219200,449200,504900,4693200,68920,20280,20895,12390,21950,144435,20.5,189.29,579857
2017,534.3333333,367.8333333,415,357.3333333,444.6666667,431.75,1657200,612000,224200,460100,513900,4793900,?,?,?,?,?,?,?,205.85,702081
2018,549.4285714,374.1428571,424.2857143,216.6666667,477,261.5833333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,764560
