@relation RentalCost
@attribute Year real
@attribute mean real
@attribute bonds real
@attribute Enrollment real
@attribute GDP real
@attribute Population real
@attribute HouseValue real
@attribute changing_cost real
@attribute riseOrNot {0,1}
@data 
1993/1/1,172,11931,35575,3.898333333,?,416370.2547,0,0
1993/2/1,178,12169,35575,3.898333333,?,416370.2547,6,1
1993/3/1,181,12312,35575,3.898333333,?,416370.2547,3,1
1993/4/1,176,12484,35575,3.898333333,?,416370.2547,-5,0
1993/5/1,183,12620,35575,3.898333333,?,416370.2547,7,1
1993/6/1,180,12747,35575,3.898333333,?,416370.2547,-3,0
1993/7/1,180,12864,35575,3.898333333,?,416370.2547,0,0
1993/8/1,174,13059,35575,3.898333333,?,416370.2547,-6,0
1993/9/1,177,13157,35575,3.898333333,?,416370.2547,3,1
1993/10/1,175,13156,35575,3.898333333,?,416370.2547,-2,0
1993/11/1,173,13280,35575,3.898333333,?,416370.2547,-2,0
1993/12/1,184,13225,35575,3.898333333,?,416370.2547,11,1
1994/1/1,183,13242,35575,4.61,?,420122.4001,-1,0
1994/2/1,185,13449,35575,4.61,?,420122.4001,2,1
1994/3/1,185,13818,35575,4.61,?,420122.4001,0,0
1994/4/1,185,13868,35575,4.61,?,420122.4001,0,0
1994/5/1,179,13993,35575,4.61,?,420122.4001,-6,0
1994/6/1,182,14136,35575,4.61,?,420122.4001,3,1
1994/7/1,181,14204,35575,4.61,?,420122.4001,-1,0
1994/8/1,185,14425,35575,4.61,?,420122.4001,4,1
1994/9/1,188,14564,35575,4.61,?,420122.4001,3,1
1994/10/1,182,14625,35575,4.61,?,420122.4001,-6,0
1994/11/1,189,14580,35575,4.61,?,420122.4001,7,1
1994/12/1,187,14399,35575,4.61,?,420122.4001,-2,0
1995/1/1,190,14537,35575,5.326666667,?,423874.5455,3,1
1995/2/1,191,14587,35575,5.326666667,?,423874.5455,1,1
1995/3/1,192,14927,35575,5.326666667,?,423874.5455,1,1
1995/4/1,188,14862,35575,5.326666667,?,423874.5455,-4,0
1995/5/1,195,15140,35575,5.326666667,?,423874.5455,7,1
1995/6/1,194,15178,35575,5.326666667,?,423874.5455,-1,0
1995/7/1,193,15324,35575,5.326666667,?,423874.5455,-1,0
1995/8/1,192,15375,35575,5.326666667,?,423874.5455,-1,0
1995/9/1,196,15496,35575,5.326666667,?,423874.5455,4,1
1995/10/1,195,15628,35575,5.326666667,?,423874.5455,-1,0
1995/11/1,198,15561,35575,5.326666667,?,423874.5455,3,1
1995/12/1,204,15406,35575,5.326666667,?,423874.5455,6,1
1996/1/1,205,15468,35575,5.845,?,426900,1,1
1996/2/1,208,15924,35575,5.845,?,426900,3,1
1996/3/1,206,16021,35575,5.845,?,426900,-2,0
1996/4/1,204,16062,35575,5.845,?,426900,-2,0
1996/5/1,212,16327,35575,5.845,?,426900,8,1
1996/6/1,210,16407,35575,5.845,?,426900,-2,0
1996/7/1,209,16496,35575,5.845,?,426900,-1,0
1996/8/1,212,16621,35575,5.845,?,426900,3,1
1996/9/1,209,16810,35575,5.845,?,426900,-3,0
1996/10/1,216,16952,35575,5.845,?,426900,7,1
1996/11/1,219,16992,35575,5.845,?,426900,3,1
1996/12/1,225,16955,35575,5.845,?,426900,6,1
1997/1/1,215,17074,36129.15,5.505833333,?,432354.8109,-10,0
1997/2/1,222,17314,36129.15,5.505833333,?,432354.8109,7,1
1997/3/1,221,17483,36129.15,5.505833333,?,432354.8109,-1,0
1997/4/1,224,17699,36129.15,5.505833333,?,432354.8109,3,1
1997/5/1,221,17701,36129.15,5.505833333,?,432354.8109,-3,0
1997/6/1,227,17913,36129.15,5.505833333,?,432354.8109,6,1
1997/7/1,222,18039,36129.15,5.505833333,?,432354.8109,-5,0
1997/8/1,222,18107,36129.15,5.505833333,?,432354.8109,0,0
1997/9/1,224,18342,36129.15,5.505833333,?,432354.8109,2,1
1997/10/1,219,18464,36129.15,5.505833333,?,432354.8109,-5,0
1997/11/1,226,18490,36129.15,5.505833333,?,432354.8109,7,1
1997/12/1,227,18515,36129.15,5.505833333,?,432354.8109,1,1
1998/1/1,228,18685,36129.15,4.685833333,?,435964.8739,1,1
1998/2/1,230,18899,36129.15,4.685833333,?,435964.8739,2,1
1998/3/1,236,19309,36129.15,4.685833333,?,435964.8739,6,1
1998/4/1,232,19372,36129.15,4.685833333,?,435964.8739,-4,0
1998/5/1,231,19430,36129.15,4.685833333,?,435964.8739,-1,0
1998/6/1,228,19584,36129.15,4.685833333,?,435964.8739,-3,0
1998/7/1,234,19732,36129.15,4.685833333,?,435964.8739,6,1
1998/8/1,225,19832,36129.15,4.685833333,?,435964.8739,-9,0
1998/9/1,229,19954,36129.15,4.685833333,?,435964.8739,4,1
1998/10/1,230,19994,36129.15,4.685833333,?,435964.8739,1,1
1998/11/1,228,20107,36129.15,4.685833333,?,435964.8739,-2,0
1998/12/1,227,20054,36129.15,4.685833333,?,435964.8739,-1,0
1999/1/1,236,20000,36129.15,4.896666667,?,439574.937,9,1
1999/2/1,241,20398,36129.15,4.896666667,?,439574.937,5,1
1999/3/1,234,20620,36129.15,4.896666667,?,439574.937,-7,0
1999/4/1,231,20878,36129.15,4.896666667,?,439574.937,-3,0
1999/5/1,233,21032,36129.15,4.896666667,?,439574.937,2,1
1999/6/1,229,21124,36129.15,4.896666667,?,439574.937,-4,0
1999/7/1,236,21205,36129.15,4.896666667,?,439574.937,7,1
1999/8/1,233,21421,36129.15,4.896666667,?,439574.937,-3,0
1999/9/1,237,21565,36129.15,4.896666667,?,439574.937,4,1
1999/10/1,231,21529,36129.15,4.896666667,?,439574.937,-6,0
1999/11/1,244,21592,36129.15,4.896666667,?,439574.937,13,1
1999/12/1,233,21452,36129.15,4.896666667,?,439574.937,-11,0
2000/1/1,243,21634,36129.15,4.385,?,443185,10,1
2000/2/1,249,22067,36129.15,4.385,?,443185,6,1
2000/3/1,241,22338,36129.15,4.385,?,443185,-8,0
2000/4/1,224,22510,36129.15,4.385,?,443185,-17,0
2000/5/1,230,22701,36129.15,4.385,?,443185,6,1
2000/6/1,239,22769,36129.15,4.385,?,443185,9,1
2000/7/1,238,22757,36129.15,4.385,?,443185,-1,0
2000/8/1,234,22835,36129.15,4.385,?,443185,-4,0
2000/9/1,231,22805,36129.15,4.385,?,443185,-3,0
2000/10/1,239,23044,36129.15,4.385,?,443185,8,1
2000/11/1,231,22920,36129.15,4.385,?,443185,-8,0
2000/12/1,238,22794,36129.15,4.385,?,443185,7,1
2001/1/1,241,22956,36683.33333,4.489166667,?,440200,3,1
2001/2/1,251,23230,36683.33333,4.489166667,?,440200,10,1
2001/3/1,246,23541,36683.33333,4.489166667,?,440200,-5,0
2001/4/1,244,23784,36683.33333,4.489166667,?,440200,-2,0
2001/5/1,238,23881,36683.33333,4.489166667,?,440200,-6,0
2001/6/1,224,24237,36683.33333,4.489166667,?,440200,-14,0
2001/7/1,238,24409,36683.33333,4.489166667,?,440200,14,1
2001/8/1,240,24550,36683.33333,4.489166667,?,440200,2,1
2001/9/1,242,24678,36683.33333,4.489166667,?,440200,2,1
2001/10/1,236,24737,36683.33333,4.489166667,?,440200,-6,0
2001/11/1,244,24774,36683.33333,4.489166667,?,440200,8,1
2001/12/1,240,24533,36683.33333,4.489166667,?,440200,-4,0
2002/1/1,250,24519,37770.83333,5.5525,?,452792.8571,10,1
2002/2/1,260,24913,37770.83333,5.5525,?,452792.8571,10,1
2002/3/1,253,25154,37770.83333,5.5525,?,452792.8571,-7,0
2002/4/1,227,25654,37770.83333,5.5525,?,452792.8571,-26,0
2002/5/1,247,25865,37770.83333,5.5525,?,452792.8571,20,1
2002/6/1,244,25909,37770.83333,5.5525,?,452792.8571,-3,0
2002/7/1,248,25896,37770.83333,5.5525,?,452792.8571,4,1
2002/8/1,245,25791,37770.83333,5.5525,?,452792.8571,-3,0
2002/9/1,246,26067,37770.83333,5.5525,?,452792.8571,1,1
2002/10/1,242,26085,37770.83333,5.5525,?,452792.8571,-4,0
2002/11/1,253,25738,37770.83333,5.5525,?,452792.8571,11,1
2002/12/1,251,25821,37770.83333,5.5525,?,452792.8571,-2,0
2003/1/1,256,25690,37770.83333,7.354166667,?,456085.7143,5,1
2003/2/1,270,26516,37770.83333,7.354166667,?,456085.7143,14,1
2003/3/1,269,26673,37770.83333,7.354166667,?,456085.7143,-1,0
2003/4/1,257,26848,37770.83333,7.354166667,?,456085.7143,-12,0
2003/5/1,243,27384,37770.83333,7.354166667,?,456085.7143,-14,0
2003/6/1,257,27319,37770.83333,7.354166667,?,456085.7143,14,1
2003/7/1,257,27727,37770.83333,7.354166667,?,456085.7143,0,0
2003/8/1,243,27979,37770.83333,7.354166667,?,456085.7143,-14,0
2003/9/1,248,28157,37770.83333,7.354166667,?,456085.7143,5,1
2003/10/1,263,28316,37770.83333,7.354166667,?,456085.7143,15,1
