@relation RentalCost
@attribute mean real
@attribute bonds real
@attribute Enrollment real
@attribute GDP real
@attribute Population real
@attribute HouseValue real
@attribute changing_cost real
@attribute riseOrNot {0,1}
@data 
172,11931,35575,3.898333333,?,416370.2547,0,0
178,12169,35575,3.898333333,?,416370.2547,6,1
181,12312,35575,3.898333333,?,416370.2547,3,1
176,12484,35575,3.898333333,?,416370.2547,-5,0
183,12620,35575,3.898333333,?,416370.2547,7,1
180,12747,35575,3.898333333,?,416370.2547,-3,0
180,12864,35575,3.898333333,?,416370.2547,0,0
174,13059,35575,3.898333333,?,416370.2547,-6,0
177,13157,35575,3.898333333,?,416370.2547,3,1
175,13156,35575,3.898333333,?,416370.2547,-2,0
173,13280,35575,3.898333333,?,416370.2547,-2,0
184,13225,35575,3.898333333,?,416370.2547,11,1
183,13242,35575,4.61,?,420122.4001,-1,0
185,13449,35575,4.61,?,420122.4001,2,1
185,13818,35575,4.61,?,420122.4001,0,0
185,13868,35575,4.61,?,420122.4001,0,0
179,13993,35575,4.61,?,420122.4001,-6,0
182,14136,35575,4.61,?,420122.4001,3,1
181,14204,35575,4.61,?,420122.4001,-1,0
185,14425,35575,4.61,?,420122.4001,4,1
188,14564,35575,4.61,?,420122.4001,3,1
182,14625,35575,4.61,?,420122.4001,-6,0
189,14580,35575,4.61,?,420122.4001,7,1
187,14399,35575,4.61,?,420122.4001,-2,0
190,14537,35575,5.326666667,?,423874.5455,3,1
191,14587,35575,5.326666667,?,423874.5455,1,1
192,14927,35575,5.326666667,?,423874.5455,1,1
188,14862,35575,5.326666667,?,423874.5455,-4,0
195,15140,35575,5.326666667,?,423874.5455,7,1
194,15178,35575,5.326666667,?,423874.5455,-1,0
193,15324,35575,5.326666667,?,423874.5455,-1,0
192,15375,35575,5.326666667,?,423874.5455,-1,0
196,15496,35575,5.326666667,?,423874.5455,4,1
195,15628,35575,5.326666667,?,423874.5455,-1,0
198,15561,35575,5.326666667,?,423874.5455,3,1
204,15406,35575,5.326666667,?,423874.5455,6,1
205,15468,35575,5.845,?,426900,1,1
208,15924,35575,5.845,?,426900,3,1
206,16021,35575,5.845,?,426900,-2,0
204,16062,35575,5.845,?,426900,-2,0
212,16327,35575,5.845,?,426900,8,1
210,16407,35575,5.845,?,426900,-2,0
209,16496,35575,5.845,?,426900,-1,0
212,16621,35575,5.845,?,426900,3,1
209,16810,35575,5.845,?,426900,-3,0
216,16952,35575,5.845,?,426900,7,1
219,16992,35575,5.845,?,426900,3,1
225,16955,35575,5.845,?,426900,6,1
215,17074,36129.15,5.505833333,?,432354.8109,-10,0
222,17314,36129.15,5.505833333,?,432354.8109,7,1
221,17483,36129.15,5.505833333,?,432354.8109,-1,0
224,17699,36129.15,5.505833333,?,432354.8109,3,1
221,17701,36129.15,5.505833333,?,432354.8109,-3,0
227,17913,36129.15,5.505833333,?,432354.8109,6,1
222,18039,36129.15,5.505833333,?,432354.8109,-5,0
222,18107,36129.15,5.505833333,?,432354.8109,0,0
224,18342,36129.15,5.505833333,?,432354.8109,2,1
219,18464,36129.15,5.505833333,?,432354.8109,-5,0
226,18490,36129.15,5.505833333,?,432354.8109,7,1
227,18515,36129.15,5.505833333,?,432354.8109,1,1
228,18685,36129.15,4.685833333,?,435964.8739,1,1
230,18899,36129.15,4.685833333,?,435964.8739,2,1
236,19309,36129.15,4.685833333,?,435964.8739,6,1
232,19372,36129.15,4.685833333,?,435964.8739,-4,0
231,19430,36129.15,4.685833333,?,435964.8739,-1,0
228,19584,36129.15,4.685833333,?,435964.8739,-3,0
234,19732,36129.15,4.685833333,?,435964.8739,6,1
225,19832,36129.15,4.685833333,?,435964.8739,-9,0
229,19954,36129.15,4.685833333,?,435964.8739,4,1
230,19994,36129.15,4.685833333,?,435964.8739,1,1
228,20107,36129.15,4.685833333,?,435964.8739,-2,0
227,20054,36129.15,4.685833333,?,435964.8739,-1,0
236,20000,36129.15,4.896666667,?,439574.937,9,1
241,20398,36129.15,4.896666667,?,439574.937,5,1
234,20620,36129.15,4.896666667,?,439574.937,-7,0
231,20878,36129.15,4.896666667,?,439574.937,-3,0
233,21032,36129.15,4.896666667,?,439574.937,2,1
229,21124,36129.15,4.896666667,?,439574.937,-4,0
236,21205,36129.15,4.896666667,?,439574.937,7,1
233,21421,36129.15,4.896666667,?,439574.937,-3,0
237,21565,36129.15,4.896666667,?,439574.937,4,1
231,21529,36129.15,4.896666667,?,439574.937,-6,0
244,21592,36129.15,4.896666667,?,439574.937,13,1
233,21452,36129.15,4.896666667,?,439574.937,-11,0
243,21634,36129.15,4.385,?,443185,10,1
249,22067,36129.15,4.385,?,443185,6,1
241,22338,36129.15,4.385,?,443185,-8,0
224,22510,36129.15,4.385,?,443185,-17,0
230,22701,36129.15,4.385,?,443185,6,1
239,22769,36129.15,4.385,?,443185,9,1
238,22757,36129.15,4.385,?,443185,-1,0
234,22835,36129.15,4.385,?,443185,-4,0
231,22805,36129.15,4.385,?,443185,-3,0
239,23044,36129.15,4.385,?,443185,8,1
231,22920,36129.15,4.385,?,443185,-8,0
