Wellington-mean,Wellington-bonds,Enrol-wellington,GDP,HouseValue,Population,Cost-changing,
172,11931,35575,3.898333333,?,416370.2547,0,
178,12169,35575,3.898333333,?,416370.2547,6,
181,12312,35575,3.898333333,?,416370.2547,3,
176,12484,35575,3.898333333,?,416370.2547,-5,
183,12620,35575,3.898333333,?,416370.2547,7,
180,12747,35575,3.898333333,?,416370.2547,-3,
180,12864,35575,3.898333333,?,416370.2547,0,
174,13059,35575,3.898333333,?,416370.2547,-6,
177,13157,35575,3.898333333,?,416370.2547,3,
175,13156,35575,3.898333333,?,416370.2547,-2,
173,13280,35575,3.898333333,?,416370.2547,-2,
184,13225,35575,3.898333333,?,416370.2547,11,
183,13242,35575,4.61,?,420122.4001,-1,
185,13449,35575,4.61,?,420122.4001,2,
185,13818,35575,4.61,?,420122.4001,0,
185,13868,35575,4.61,?,420122.4001,0,
179,13993,35575,4.61,?,420122.4001,-6,
182,14136,35575,4.61,?,420122.4001,3,
181,14204,35575,4.61,?,420122.4001,-1,
185,14425,35575,4.61,?,420122.4001,4,
188,14564,35575,4.61,?,420122.4001,3,
182,14625,35575,4.61,?,420122.4001,-6,
189,14580,35575,4.61,?,420122.4001,7,
187,14399,35575,4.61,?,420122.4001,-2,
190,14537,35575,5.326666667,?,423874.5455,3,
191,14587,35575,5.326666667,?,423874.5455,1,
192,14927,35575,5.326666667,?,423874.5455,1,
188,14862,35575,5.326666667,?,423874.5455,-4,
195,15140,35575,5.326666667,?,423874.5455,7,
194,15178,35575,5.326666667,?,423874.5455,-1,
193,15324,35575,5.326666667,?,423874.5455,-1,
192,15375,35575,5.326666667,?,423874.5455,-1,
196,15496,35575,5.326666667,?,423874.5455,4,
195,15628,35575,5.326666667,?,423874.5455,-1,
198,15561,35575,5.326666667,?,423874.5455,3,
204,15406,35575,5.326666667,?,423874.5455,6,
205,15468,35575,5.845,?,426900,1,
208,15924,35575,5.845,?,426900,3,
206,16021,35575,5.845,?,426900,-2,
204,16062,35575,5.845,?,426900,-2,
212,16327,35575,5.845,?,426900,8,
210,16407,35575,5.845,?,426900,-2,
209,16496,35575,5.845,?,426900,-1,
212,16621,35575,5.845,?,426900,3,
209,16810,35575,5.845,?,426900,-3,
216,16952,35575,5.845,?,426900,7,
219,16992,35575,5.845,?,426900,3,
225,16955,35575,5.845,?,426900,6,
215,17074,36129.15,5.505833333,?,432354.8109,-10,
222,17314,36129.15,5.505833333,?,432354.8109,7,
221,17483,36129.15,5.505833333,?,432354.8109,-1,
224,17699,36129.15,5.505833333,?,432354.8109,3,
221,17701,36129.15,5.505833333,?,432354.8109,-3,
227,17913,36129.15,5.505833333,?,432354.8109,6,
222,18039,36129.15,5.505833333,?,432354.8109,-5,
222,18107,36129.15,5.505833333,?,432354.8109,0,
