Year,AKL,Canterbury,Otago,Waikato,Wellington,National total,WellingtonBonds,Wellington Population,Wellington Enrollment,GDP,Population(k)
1993,199.0833333,147.5,154.5833333,134.1666667,177.75,161.9166667,12750.33333,412103.7251,21930,46.78,412.1037251
1994,216.8333333,152.9166667,161.1666667,138.6666667,184.25,171.25,14108.58333,416059.7951,21930,55.32,416.0597951
1995,246,163,168.8333333,150.5833333,194,185.3333333,15168.41667,420015.8651,21930,63.92,420.0158651
1996,271.8333333,172.4166667,169,162.4166667,211.25,200.5,12750.33333,426900,21930,70.14,426.9
1997,277.6666667,176.5833333,163.6666667,169.5833333,222.5,207.0833333,14108.58333,427395.6297,21930,66.07,427.3956297
1998,269.0833333,174.6666667,161,171.1666667,229.8333333,206.8333333,15168.41667,431389.7266,21930,56.23,431.3897266
1999,263.75,171.5833333,179.0833333,172,234.8333333,206.3333333,12750.33333,435383.8234,21930,58.76,435.3838234
2000,266.1666667,175.1666667,176.5833333,170.3333333,236.4166667,208.25,14108.58333,439377.9202,21930,52.62,439.3779202
2001,275.1666667,178.3333333,185.75,171.25,240.3333333,214.0833333,15168.41667,440200,21930,53.87,440.2
2002,300.3333333,191.75,200.8333333,178.75,247.1666667,228.0833333,12750.33333,448112.4709,21930,66.63,448.1124709
2003,324.9166667,212.9166667,220.4166667,194.1666667,256.4166667,246.5833333,14108.58333,452036.5967,21930,88.25,452.0365967
2004,330.8333333,231.4166667,245.0833333,210.6666667,267.9166667,259.1666667,15168.41667,455960.7226,21930,103.9,455.9607226
2005,333.5833333,241.5833333,258.25,224.0833333,277.9166667,268.4166667,12750.33333,459884.8485,21930,114.7,459.8848485
2006,342.0833333,254,261.4166667,237.75,295.9166667,280.4166667,14108.58333,466300,21930,111.6,466.3
2007,363.0833333,267.9166667,273.25,253.9166667,323.1666667,298.9166667,15168.41667,469300,21930,137.3,469.3
2008,380.1666667,280.4166667,283.75,265.3333333,344.5,313,12750.33333,471800,21930,133,471.8
2009,382.0833333,278,289.3333333,268.9166667,351.8333333,314.9166667,14108.58333,475600,22925,121.3,475.6
2010,394.1666667,284.1666667,291.9166667,272.6666667,363.5,323.1666667,15168.41667,479400,22880,146.6,479.4
2011,414.75,302.8333333,310.0833333,278.3333333,365.25,334.4166667,12750.33333,483400,22560,168.5,483.4
2012,430.4166667,329.5833333,317,283.5833333,371.4166667,347.4166667,14108.58333,485100,21195,176.2,485.1
2013,444.8333333,366.5833333,327,290.3333333,379.5,361.6666667,15168.41667,486700,21480,190.5,486.7
2014,463.5833333,394.9166667,341.8333333,297.5,390.1666667,376.5833333,12750.33333,491400,21190,200.7,491.4
2015,493.6666667,388.1666667,359,310.1666667,400.0833333,394.6666667,14108.58333,496900,21450,175.6,496.9
2016,514.5833333,385.1666667,385.1666667,333.6666667,420.5833333,412.9166667,15168.41667,504900,21950,185,504.9
2017,534.3333333,367.8333333,415,357.3333333,444.6666667,431.75,12750.33333,513900,21950,205.6,513.9
2018,549.4285714,374.1428571,424.2857143,216.6666667,477,448.4285714,45746.57143,510898.4848,21950,213.26,510.8984848
