Year,rental cost of Otago,Rental cost of Waikato,,Rental cost across whole country,Wellington Population,,Predict by model
2012,317,283.5833333,,347.4166667,485100,,376.4908833
2013,327,290.3333333,,361.6666667,486700,,384.8630333
2014,341.8333333,297.5,,376.5833333,491400,,394.5209833
2015,359,310.1666667,,394.6666667,496900,,410.1345
2016,385.1666667,333.6666667,,412.9166667,504900,,434.69685
2017,415,353,,431.75,505900,,448.54025
2018,425.6666667,360.35,,446.85,512730,,461.67993
2019,445.1428572,374.3428572,,463.8071429,517920,,477.09141
2020,464.6190476,388.3357143,,480.7642857,523110,,492.5028901
2021,484.0952381,402.3285715,,497.7214286,528300,,507.9143701
2022,600,416.3214287,,514.6785714,533490,,487.5122787
2023,523.0476191,600,,531.6357143,538680,,699.1242671
2024,550,416.3214287,,600,543870,,540.8871144
2025,550,442.3081634,,546.1704082,600000,,593.6343048
2026,700,453.3025511,,559.4938775,554250,,515.8544697
2027,597.3344671,464.2969389,,572.8173469,700000,,685.1146135
,,,,,,,
