@relation Rental_Cost
@attribute Year real
@attribute mean real
@attribute bonds real
@attribute Population real
@attribute Enrollment real
@attribute GDP real
@attribute HouseValue real
@attribute changing_cost real
@data 
1993,177.75,12750.33333,412103.7251,21930,46.78,?,0
1994,184.25,14108.58333,416059.7951,21930,55.32,?,6.5
1995,194,15168.41667,420015.8651,21930,63.92,?,9.75
1996,211.25,12750.33333,426900,21930,70.14,?,17.25
1997,222.5,14108.58333,427395.6297,21930,66.07,?,11.25
1998,229.8333333,15168.41667,431389.7266,21930,56.23,?,7.3333333
1999,234.8333333,12750.33333,435383.8234,21930,58.76,?,5
2000,236.4166667,14108.58333,439377.9202,21930,52.62,?,1.5833334
2001,240.3333333,15168.41667,440200,21930,53.87,?,3.9166666
2002,247.1666667,12750.33333,448112.4709,21930,66.63,?,6.8333334
2003,256.4166667,14108.58333,452036.5967,21930,88.25,?,9.25
2004,267.9166667,15168.41667,455960.7226,21930,103.9,?,11.5
2005,277.9166667,12750.33333,459884.8485,21930,114.7,?,10
2006,295.9166667,14108.58333,466300,21930,111.6,?,18
2007,323.1666667,15168.41667,469300,21930,137.3,?,27.25
2008,344.5,12750.33333,471800,21930,133,?,21.3333333
2009,351.8333333,14108.58333,475600,22925,121.3,?,7.3333333
2010,363.5,15168.41667,479400,22880,146.6,?,11.6666667
2011,365.25,12750.33333,483400,22560,168.5,?,1.75
2012,371.4166667,14108.58333,485100,21195,176.2,?,6.1666667
2013,379.5,15168.41667,486700,21480,190.5,?,8.0833333
2014,390.1666667,12750.33333,491400,21190,200.7,534748,10.6666667
2015,400.0833333,14108.58333,496900,21450,177.62,543754,9.9166666
2016,420.5833333,15168.41667,504900,21950,189.29,579857,20.5
2017,444.6666667,12750.33333,513900,21950,205.85,702081,24.0835
2018,477,45746.57143,510898.4848,21950,206.5535,764560,32.3333333
