"Month","Auckland","Bay of Plenty","Canterbury","Gisborne","Hawke's Bay","Manawatu-Wanganui","Marlborough","National Total","Nelson","Northland","Otago","Southland","Taranaki","Tasman","Waikato","Wellington","West Coast"
1993-01-01,27810,5065,11581,956,3144,6243,790,91340,1254,2216,5156,1628,2835,416,9049,11931,472
1993-02-01,28084,5157,11888,982,3166,6353,794,92602,1262,2227,5166,1645,2857,411,9181,12169,468
1993-03-01,28712,5309,12236,994,3200,6656,806,94977,1285,2267,5366,1664,2905,419,9575,12312,482
1993-04-01,29199,5337,12420,1019,3259,6791,801,96573,1321,2328,5523,1704,2920,431,9746,12484,499
1993-05-01,29780,5489,12675,1044,3302,6984,818,98546,1356,2383,5662,1747,2963,443,9996,12620,490
1993-06-01,30207,5594,12852,1066,3302,7055,830,99752,1374,2420,5762,1730,3004,442,10088,12747,497
1993-07-01,30535,5633,12976,1061,3323,7120,845,100668,1398,2436,5772,1759,3017,449,10198,12864,505
1993-08-01,31003,5719,13197,1087,3380,7195,873,102088,1412,2498,5823,1774,3063,448,10270,13059,503
1993-09-01,31521,5860,13275,1092,3427,7261,881,103347,1442,2529,5889,1778,3099,450,10397,13157,502
1993-10-01,31803,5900,13271,1090,3439,7153,890,103604,1457,2553,5903,1806,3071,455,10386,13156,494
1993-11-01,32513,6034,13247,1115,3486,7090,905,104686,1446,2558,5921,1817,3096,458,10444,13280,498
1993-12-01,32335,5963,13010,1100,3479,6884,895,103407,1430,2542,5765,1783,3064,464,10216,13225,493
1994-01-01,32736,6024,13210,1128,3519,6910,906,104364,1461,2563,5734,1792,3073,478,10311,13242,502
1994-02-01,33163,6071,13477,1145,3582,7087,915,106025,1472,2585,5737,1812,3101,492,10636,13449,517
1994-03-01,33956,6224,14013,1175,3621,7503,942,109178,1529,2634,6004,1812,3173,505,10943,13818,526
1994-04-01,34202,6258,14131,1173,3637,7634,953,109851,1551,2630,6040,1819,3174,505,10942,13868,540
1994-05-01,34843,6336,14342,1186,3672,7708,983,111530,1559,2659,6161,1839,3217,515,11183,13993,544
1994-06-01,35320,6450,14494,1186,3727,7840,995,112949,1561,2746,6244,1847,3259,527,11275,14136,551
1994-07-01,35565,6552,14471,1198,3786,7804,1001,113414,1567,2717,6273,1841,3262,533,11301,14204,557
1994-08-01,36486,6724,14748,1210,3847,7860,1016,115613,1582,2777,6372,1868,3278,543,11519,14425,564
1994-09-01,37048,6786,14788,1209,3903,7855,1018,116672,1624,2799,6420,1886,3295,557,11569,14564,556
1994-10-01,37278,6864,14935,1228,3937,7869,1030,117347,1643,2801,6489,1898,3287,560,11537,14625,562
1994-11-01,37477,6941,15071,1246,3955,7608,1022,117457,1638,2801,6508,1933,3308,547,11453,14580,563
1994-12-01,37390,6799,14801,1263,3948,7390,1032,116181,1588,2778,6418,1909,3242,543,11315,14399,556
1995-01-01,38014,6956,14996,1285,3999,7421,1042,117713,1612,2820,6376,1926,3307,553,11485,14537,561
1995-02-01,38226,7014,15267,1276,4013,7580,1038,118816,1673,2858,6433,1938,3355,559,11624,14587,569
1995-03-01,39038,7130,15723,1315,4110,8025,1034,121822,1704,2931,6531,2005,3395,567,11972,14927,584
1995-04-01,39079,7193,15677,1307,4126,8051,1034,121874,1696,2920,6535,2007,3386,565,12013,14862,575
1995-05-01,40028,7341,16001,1327,4194,8118,1059,124254,1722,2968,6704,2052,3402,585,12164,15140,594
1995-06-01,40120,7371,16150,1333,4222,8176,1074,124921,1743,3013,6759,2086,3446,572,12219,15178,592
1995-07-01,40612,7506,16291,1347,4250,8174,1080,126122,1754,3018,6879,2113,3450,579,12287,15324,582
1995-08-01,41151,7564,16464,1359,4288,8247,1082,127277,1787,3070,6925,2102,3466,591,12315,15375,589
1995-09-01,41387,7554,16506,1358,4336,8216,1092,127687,1794,3065,6950,2098,3441,597,12323,15496,581
1995-10-01,42066,7662,16600,1383,4350,8333,1110,129182,1835,3133,7004,2147,3455,600,12407,15628,587
1995-11-01,42148,7647,16535,1351,4340,8106,1106,128791,1824,3147,7012,2123,3479,615,12307,15561,585
1995-12-01,42385,7601,16329,1359,4369,7936,1118,128331,1841,3105,6986,2098,3424,617,12271,15406,572
