@relation 'finalcorrect-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.unsupervised.attribute.Remove-R46_set_7_of_10-weka.filters.unsupervised.attribute.Remove-V-Rfirst,last'

@attribute random_ID numeric
@attribute 'class_predicted_by: RandomForest' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
3937,13
3225,4
1440,11
7312,13
1592,13
2263,11
3846,12
7841,14
3755,12
1912,12
1185,13
5139,12
2463,14
5572,12
6854,9
1128,14
6666,13
397,10
8639,12
3984,13
2890,14
6579,13
5703,14
1190,13
2280,14
8563,12
1275,13
9403,14
759,11
3013,10
4150,12
9912,14
9456,14
2220,4
2909,13
1661,14
3368,14
8528,13
3036,12
128,12
8934,11
949,13
3338,12
1562,12
7369,12
2526,7
719,7
833,5
140,14
427,11
1498,6
1060,14
8922,14
6868,14
5141,12
2234,12
9258,13
3152,12
6429,12
253,10
5011,12
7972,14
7384,14
8556,14
3048,13
8937,5
5549,12
8431,14
8876,12
8227,14
5628,13
935,14
1886,12
2412,14
3490,12
463,14
2724,13
522,14
6538,13
9638,14
3815,12
3495,7
4697,10
5205,14
2682,14
8480,12
5976,14
7385,13
3478,7
3209,12
8685,13
1764,10
8618,14
811,14
3254,10
7375,13
9173,7
574,13
2267,13
5904,14
3314,12
8389,10
9816,7
3814,14
6221,7
2067,13
1723,8
9532,13
7283,13
6242,13
5096,13
7116,12
389,12
6486,14
6615,14
7025,12
8978,14
6456,12
3073,13
1611,4
6620,13
6502,12
9086,12
9204,13
3789,4
7711,13
7341,14
3793,13
8964,5
5545,14
1352,13
681,13
3849,13
8072,14
3288,12
8732,13
1882,12
1455,3
3357,12
2237,13
4185,12
4562,13
2371,13
9496,12
1014,13
7624,14
2855,6
9476,12
7692,6
154,14
3968,13
4838,12
6323,12
2158,14
4156,12
2392,10
4331,11
3974,13
9882,5
8151,14
394,7
6563,12
2385,12
5675,7
6835,13
2556,10
3864,6
5235,14
3664,12
7123,13
178,9
4395,7
6784,13
8708,14
9734,5
2801,11
9161,12
4112,12
5224,13
6425,2
3003,14
3074,7
5164,14
6519,10
9072,13
3103,14
3798,12
3301,11
962,12
7077,13
7910,12
6838,12
2772,14
5747,14
3108,13
6297,13
3645,14
6933,7
4501,8
4581,14
343,12
6336,14
1614,12
9047,14
2554,14
8593,5
8210,13
9510,14
3055,12
2309,8
1660,14
3253,12
5568,5
2609,11
9266,13
4936,7
598,12
5044,12
1046,12
3056,9
2102,8
3764,14
7585,13
9883,6
4060,13
6918,14
4846,13
1438,11
3212,14
5395,12
7636,13
3756,10
8611,12
1151,14
8792,13
4317,14
2710,13
4472,5
4627,12
8067,14
8222,12
7896,14
3800,7
2155,14
3072,9
8882,6
8383,14
3944,10
9618,13
9794,14
8305,13
7251,12
1805,13
6768,14
1691,14
5970,14
5509,7
2209,13
2305,1
1622,13
2611,14
6194,12
3862,5
7125,12
7173,12
9575,12
8177,13
5151,14
7403,12
994,12
3257,14
5957,13
2721,12
9369,13
9919,14
2684,13
1525,13
3159,14
3308,13
7196,13
3532,14
44,11
2623,13
6418,13
2836,14
9032,12
6462,14
1042,13
8897,14
4075,14
9063,6
2500,11
2734,11
7750,5
7863,14
8060,12
708,12
4857,13
9685,13
723,7
7365,12
9306,12
4007,12
8595,12
3868,10
240,14
6254,13
7655,14
6485,14
9979,14
7805,12
5355,12
9048,13
6251,14
2902,14
501,13
648,12
7014,12
7662,14
8285,13
3132,12
5859,12
4830,14
5318,14
9022,12
5298,11
6772,14
380,14
6406,13
1743,13
8604,12
5961,12
5575,12
199,12
8823,13
5897,14
2678,14
5802,14
7069,13
7057,14
7771,14
5993,13
7459,12
1097,10
12,4
196,14
6935,12
4939,14
8868,14
653,13
1063,12
7352,14
1991,12
3725,12
6076,14
5175,14
923,12
4659,10
3872,13
353,13
1758,7
1243,13
5393,12
6874,7
3985,14
2092,13
9699,14
2290,10
4577,12
7751,13
3464,13
4397,14
173,14
2241,14
6497,14
7237,14
4045,5
4564,11
7174,14
6945,10
4115,13
8719,14
2511,14
5992,13
8691,12
8770,12
9504,14
2096,14
9296,5
8513,14
2248,14
1630,9
5946,13
3237,11
2431,12
4043,13
7855,11
7206,12
1613,13
6470,14
5536,14
7507,11
4217,12
7467,7
3626,13
9491,12
78,13
6479,12
2017,13
9613,14
4669,12
8898,13
8306,13
2112,14
5590,13
1647,14
3880,13
9683,10
3695,10
298,14
2814,13
2769,11
8254,14
7804,11
5712,14
4346,14
1144,8
614,12
5469,12
4874,7
3510,13
98,11
2756,11
2932,11
1434,14
2580,10
1476,12
4803,12
2166,14
2019,14
1985,6
1659,13
938,7
4269,5
3160,14
5279,14
3447,14
2101,13
3897,13
4504,12
3246,14
8526,13
7715,14
1987,12
519,14
5783,9
2435,14
5353,12
8071,14
2564,11
8636,12
5805,14
325,13
6071,8
2179,11
3908,14
6080,14
3333,13
9764,5
41,13
2581,14
3057,9
8008,13
2118,12
6446,14
4267,14
341,12
4998,7
6744,7
8041,14
3410,13
6471,13
314,10
1876,7
2386,14
3930,12
6374,14
9064,14
8419,14
6911,12
8566,14
1039,14
9807,14
7274,12
5602,14
8141,12
1787,14
978,13
1137,13
8148,13
2230,12
4194,12
2298,11
1474,13
7488,12
6219,14
8653,12
