random_ID,total_income_hhld_code
1,13
2,7
3,12
4,13
7,12
8,12
9,12
10,13
12,5
13,14
14,11
15,10
16,12
17,11
18,13
19,12
20,11
21,13
22,12
23,12
24,9
25,12
27,12
28,13
29,12
30,14
31,13
33,13
34,13
35,10
36,13
37,10
39,13
41,13
42,14
43,9
44,11
46,12
47,12
48,10
49,12
50,11
52,9
55,11
57,12
58,13
59,5
60,9
61,12
62,13
67,13
68,13
69,13
71,6
72,13
73,13
75,7
76,8
78,12
79,10
80,12
81,12
82,11
83,14
86,13
87,13
88,12
89,8
92,14
93,12
94,13
95,13
96,13
97,12
98,10
99,14
100,11
101,13
103,13
104,12
105,10
106,5
108,14
110,11
112,13
113,12
115,12
117,13
118,13
120,13
122,13
123,9
125,13
126,7
127,13
128,12
129,12
130,10
131,11
132,9
133,5
134,14
135,9
136,10
137,12
138,12
139,12
140,11
141,12
142,13
143,11
147,14
149,7
150,12
151,11
152,13
153,12
154,14
155,13
156,12
157,11
160,12
161,9
162,10
165,13
170,9
172,11
173,14
174,8
175,12
176,9
177,13
178,10
179,12
181,14
182,11
183,9
184,13
185,12
186,12
187,13
188,12
189,12
190,11
191,12
193,11
195,13
196,14
197,11
198,13
199,12
200,13
201,11
203,10
204,13
205,12
206,9
207,11
208,13
209,12
210,12
211,12
212,11
213,12
214,11
215,12
216,13
217,7
218,9
221,8
222,10
225,14
227,12
229,9
231,14
233,13
234,11
235,12
236,9
237,12
238,12
239,11
240,13
242,13
246,13
247,12
248,13
249,8
250,13
251,12
252,12
253,11
254,11
255,12
256,12
257,14
258,13
259,12
260,11
262,13
263,13
264,11
265,11
266,8
267,13
268,13
269,10
271,13
277,14
278,13
279,10
280,12
281,13
282,13
284,12
286,12
287,6
288,13
289,12
291,11
292,12
294,13
295,10
297,14
298,12
299,12
300,13
301,11
302,11
303,10
305,13
307,6
309,12
310,12
311,13
312,13
313,13
314,11
315,11
317,7
318,8
321,13
322,13
323,14
324,12
325,13
326,13
329,13
330,12
331,9
332,11
333,9
335,13
336,12
337,10
340,13
341,12
342,12
343,11
344,12
345,12
346,12
347,12
348,10
349,13
350,13
351,5
353,13
354,14
355,10
356,13
358,12
359,11
360,12
362,13
363,13
364,12
367,10
368,11
369,11
370,11
372,12
374,7
375,7
376,5
377,12
378,12
379,13
380,11
381,13
382,10
383,10
384,7
385,7
386,13
387,13
388,12
389,12
390,12
391,7
392,12
394,9
396,10
397,11
398,12
399,13
400,9
401,11
402,14
403,12
404,8
408,12
409,13
410,12
411,14
413,12
414,13
415,14
418,12
419,11
420,11
421,12
423,12
424,12
426,12
427,13
428,11
429,13
430,6
431,13
433,11
434,9
435,11
438,8
441,9
442,12
443,13
444,12
445,13
450,12
451,12
453,12
454,12
456,7
457,13
458,13
460,12
462,12
463,13
465,10
466,13
467,13
470,12
471,12
472,9
473,13
474,6
475,10
477,8
478,12
479,12
481,8
482,12
483,13
485,11
486,14
488,12
489,9
490,13
492,7
493,12
494,12
496,13
500,13
501,13
502,14
505,11
506,6
507,11
509,13
510,11
515,13
517,14
519,13
520,13
521,13
522,13
523,12
525,4
526,12
527,12
528,13
529,13
530,13
531,12
532,13
533,9
534,13
535,12
538,11
539,12
540,13
542,7
547,7
548,12
549,13
550,12
552,11
553,12
554,9
555,11
558,13
559,9
560,12
561,13
562,14
565,11
566,13
567,11
569,12
570,11
571,12
572,12
573,14
574,13
575,14
576,13
577,5
578,11
579,7
580,12
585,12
586,6
587,12
588,5
589,7
590,13
592,13
593,13
594,11
595,11
598,12
599,13
601,13
602,13
603,12
604,11
607,13
608,7
609,12
610,12
612,12
614,12
615,13
616,13
619,13
620,4
621,10
622,12
623,13
624,13
626,11
627,13
628,13
630,11
632,12
633,13
634,12
635,8
636,12
637,12
639,9
640,13
641,14
642,12
643,13
644,10
645,13
646,13
647,13
648,12
649,13
650,11
651,13
653,13
655,11
656,14
657,13
658,12
662,7
663,11
664,12
665,6
666,13
667,13
668,13
669,8
671,6
672,12
674,12
675,9
677,13
678,12
680,10
681,12
682,13
683,12
684,10
685,13
686,12
687,10
688,8
689,12
690,12
691,12
692,14
694,13
695,13
696,10
698,11
700,11
702,13
704,13
705,11
708,12
709,13
710,11
712,13
713,10
714,11
715,13
716,12
717,13
719,9
721,12
722,9
723,9
724,14
725,9
726,11
727,12
728,5
729,13
731,10
732,11
733,10
734,13
735,12
736,10
737,12
738,13
740,8
741,13
743,12
744,7
745,12
746,13
747,8
748,10
749,10
750,12
751,12
753,14
755,4
756,9
757,14
759,12
760,12
762,12
763,13
764,9
765,10
767,13
768,12
771,11
772,12
773,13
775,13
776,13
777,11
778,10
779,13
780,13
781,14
782,12
783,12
784,8
785,11
786,7
787,13
789,7
790,12
791,13
793,12
796,10
798,13
799,10
800,12
802,13
803,12
804,13
805,13
806,11
807,13
808,12
809,11
810,10
811,14
812,11
813,13
814,7
815,6
816,13
817,12
818,12
820,12
822,5
823,13
824,12
825,13
826,12
827,12
828,7
829,12
833,6
834,9
835,13
836,11
839,9
840,12
841,14
842,13
843,14
844,8
845,12
846,13
847,12
848,12
850,5
851,12
852,13
853,12
854,13
855,12
856,7
857,10
858,11
860,12
862,13
863,12
865,10
866,13
867,12
868,12
869,9
871,12
872,13
875,8
877,9
878,12
879,12
880,12
881,11
882,13
886,9
889,11
890,7
891,14
893,12
894,13
895,11
896,11
899,12
900,12
901,12
902,12
905,10
906,11
907,9
908,12
910,12
912,11
914,13
916,12
917,13
918,7
919,12
920,12
921,14
922,12
923,12
924,9
925,7
926,12
927,13
929,12
932,12
933,12
935,14
936,13
937,13
938,10
939,13
940,12
942,13
945,13
947,7
948,13
949,13
951,11
952,13
953,6
954,13
955,12
956,14
957,14
958,11
961,8
962,12
965,12
966,12
967,14
969,11
973,13
974,13
975,11
977,6
978,12
979,13
980,11
981,12
983,11
984,13
985,12
986,13
987,6
988,12
989,12
990,8
991,13
994,12
995,13
996,12
998,12
999,10
1000,11
1003,4
1004,14
1005,10
1006,13
1007,11
1008,11
1009,12
1010,13
1011,6
1012,12
1013,13
1014,13
1015,13
1016,12
1018,12
1019,14
1023,12
1024,13
1025,12
1026,12
1027,12
1028,8
1029,10
1030,12
1031,12
1032,13
1033,12
1034,13
1035,9
1037,12
1038,8
1039,13
1040,14
1041,10
1042,13
1043,13
1044,13
1045,7
1046,11
1047,12
1048,11
1049,13
1050,6
1054,9
1055,7
1056,13
1057,13
1058,13
1059,12
1060,14
1062,13
1063,12
1064,13
1066,12
1067,13
1069,13
1071,12
1072,12
1073,12
1074,12
1075,9
1076,11
1077,12
1079,11
1080,7
1081,13
1082,13
1084,13
1085,13
1088,12
1090,13
1091,13
1093,11
1094,13
1095,12
1096,9
1097,11
1098,13
1099,13
1100,13
1102,14
1103,14
1106,7
1108,8
1109,11
1110,5
1113,13
1115,13
1116,12
1117,10
1118,13
1119,13
1120,13
1121,13
1125,10
1127,13
1128,13
1131,13
1132,11
1134,12
1135,12
1136,12
1137,13
1138,12
1140,12
1142,10
1143,12
1144,8
1145,12
1146,13
1148,12
1149,11
1150,12
1151,13
1152,12
1153,13
1154,13
1156,14
1157,12
1159,13
1161,6
1163,7
1164,12
1165,11
1166,12
1167,11
1168,12
1169,12
1170,12
1171,11
1173,13
1174,7
1175,5
1176,13
1180,13
1181,10
1182,13
1184,9
1185,11
1190,13
1192,12
1193,12
1195,14
1197,9
1198,13
1199,14
1200,13
1202,12
1203,12
1204,13
1205,14
1206,14
1207,12
1208,13
1209,11
1210,13
1211,12
1212,8
1213,13
1215,6
1216,12
1218,10
1219,13
1220,11
1221,12
1223,14
1224,7
1227,13
1228,8
1229,7
1230,6
1232,13
1234,7
