"","id","NZDep","ch_asian","ch_euro","ch_maori","ch_melaa","ch_other","ch_pacific","m_age","m_asian","m_euro","m_maori","m_melaa","m_other","m_pacific","m_wklfs","d_age","d_asian","d_euro","d_maori","d_melaa","d_other","d_pacific","d_wklfs","bedroom","m_years","m_tenure","m_edu","m_work_hour","m_smoke","m_income7","m_income8","m_income9","m_income10","m_income11","m_income12","d_years","d_tenure","d_edu","d_work_hour","d_smoke","d_income7","d_income8","d_income9","d_income10","d_income11","d_income12","ch_sex","child_family","d_family_role","heat_fuel","m_family_rol","telecom1","telecom2","telecom4","usual_resdnt","twin","singpar","total_income","NA"
"1",1,"9","0","1","0","0","0","0",20,"0","1","0","0","0","0","1",27,"0","1","0","0","0","0","1","3",31,"1","9",33,"1","0","0","0","0","0","0",14,"1","8",43,"2","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","13",43
"2",2,"9","0","1","0","0","0","0",5,"0","1","0","0","0","0","4",12.9499978354978,"0","1","0","0","0","0","4","2",3,"2","0",2,"1","0","0","0","0","0","0",5.97609103641457,"2","0",2,"1","0","0","0","0","0","0","1","31","1","1","1","1","1","1","2","1","2","7",2
"3",3,"2","0","1","0","0","0","0",21,"0","1","0","0","0","0","4",23,"0","1","0","0","0","0","1","4",30,"1","11",2,"3","0","0","0","0","0","0",34,"1","11",37,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","3","1","1","12",37
"4",4,"1","0","0","0","0","0","1",15,"0","0","0","0","0","1","4",10,"0","1","0","0","0","1","1","4",14,"2","0",2,"1","0","0","0","0","0","1",2,"2","3",64,"3","0","0","0","0","0","1","2","21","1","1","1","99","99","99","5","1","1","14",64
"5",7,"4","0","1","0","0","0","0",17,"0","1","0","0","0","0","2",22,"0","1","0","0","0","0","1","3",25.8726925032175,"1","3",25,"3","0","0","0","0","0","0",41,"1","8",53,"2","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","12",53
"6",8,"7","0","1","0","0","0","0",23,"0","1","0","0","0","0","4",22,"0","0","0","0","1","0","1","3",30,"1","3",3,"3","0","0","0","0","0","0",2,"1","8",43,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","12",43
"7",9,"5","0","1","0","0","0","0",25,"0","1","0","0","0","0","1",24,"0","1","0","0","0","0","1","4",14,"2","2",75,"3","0","0","0","0","0","0",3,"1","0",73,"3","0","0","0","0","0","0","1","21","1","1","1","99","99","99","4","1","1","13",73
"8",10,"4","0","1","1","0","0","0",23,"0","1","1","0","0","0","1",22,"0","0","1","0","0","0","1","4",2,"2","8",38,"3","0","0","0","0","0","0",3,"2","11",58,"3","0","0","0","0","0","0","2","21","1","1","1","1","1","1","4","1","1","14",58
"9",12,"7","0","1","0","0","0","0",16,"0","1","0","0","0","0","4",17.3048917748918,"0","1","0","0","0","0","4","3",3,"2","0",2,"1","0","0","0","0","0","0",7.79217647058824,"2","0",2,"1","0","0","0","0","0","0","1","31","1","1","1","1","1","1","4","1","2","4",2
"10",13,"2","0","1","0","0","0","0",22,"0","1","0","0","0","0","3",25,"0","1","0","0","0","0","1","4",2,"1","13",32,"3","0","0","0","0","0","0",3,"1","12",64,"3","0","0","0","0","0","0","1","21","1","1","1","1","1","1","4","1","1","14",64
"11",14,"3","0","1","1","0","0","0",8,"0","1","1","0","0","0","4",7,"0","1","1","0","0","0","1","3",2,"2","0",2,"1","0","0","0","0","0","0",2,"2","6",45,"1","0","0","0","0","0","0","1","21","1","1","1","1","1","1","3","1","1","12",45
