ID,NZDep2006,ch_asian,ch_euro,ch_maori,ch_melaa,ch_other,ch_pacific,m_age,m_asian,m_euro,m_maori,m_melaa,m_other,m_pacific,m_wklfs_code,d_age,d_asian,d_euro,d_maori,d_melaa,d_other,d_pacific,d_wklfs_code,bedroom_count_code,m_years_at_addr_code,m_tenure_holder_code,m_education,m_work_hours,m_smoke,m_income_srce7,m_income_srce8,m_income_srce9,m_income_srce10,m_income_srce11,m_income_srce12,d_years_at_addr_code,d_tenure_holder_code,d_education,d_work_hours,d_smoke,d_income_srce7,d_income_srce8,d_income_srce9,d_income_srce10,d_income_srce11,d_income_srce12,ch_sex,child_depend_family_type_code,d_family_role_code,heat_fuel,m_family_role_code,telecomm1_code,telecomm2_code,telecomm4_code,usual_resdnt_count_code,twin,singparstat,total_income_hhld_code
3954,9,0,1,0,0,0,0,27,0,1,0,0,0,0,1,35,0,1,0,0,0,0,1,3,0,1,3,27,3,0,0,0,0,0,0,2,1,7,45,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
3955,9,0,0,0,0,0,1,29,0,0,0,0,0,1,4,43,0,0,0,0,0,1,1,3,0,2,4,0,3,0,0,0,0,0,0,0,2,4,29,2,0,0,0,0,0,0,2,23,1,1,1,1,99,99,5,1,1,?
3956,1,0,1,0,0,0,0,36,0,1,0,0,0,0,4,37,0,1,0,0,0,0,1,3,2,1,4,0,3,0,0,0,0,0,0,0,1,4,40,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
3957,1,0,0,0,0,1,0,38,0,0,0,0,1,0,4,38,0,1,0,0,0,0,1,3,5,1,10,0,3,0,0,0,0,0,0,5,1,9,0,3,0,0,0,0,0,0,1,31,1,1,1,1,2,4,2,1,2,?
3958,1,0,1,0,0,0,0,27,0,1,0,0,0,0,4,36,0,1,0,0,0,0,1,4,0,2,3,0,2,0,0,0,0,0,0,0,2,11,50,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,4,1,1,?
3959,10,0,1,1,0,0,0,22,0,1,1,0,0,0,1,27,0,1,1,0,0,0,1,3,3,2,1,22,3,0,0,0,0,0,0,0,1,8,50,3,0,0,0,0,0,0,1,21,1,1,1,1,2,4,3,1,1,?
3960,8,0,0,0,0,1,0,27,0,0,0,0,1,0,1,25,0,0,0,0,1,0,1,3,0,1,10,32,3,0,0,0,0,0,0,0,1,3,55,2,0,0,0,0,0,0,2,21,1,1,1,1,2,99,3,1,1,?
3961,10,0,0,1,0,0,0,25,0,0,1,0,0,0,4,22,0,0,1,0,0,0,4,3,0,2,1,0,1,0,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,2,21,1,1,1,99,2,99,3,1,1,?
3962,8,0,1,1,0,0,0,23,0,0,1,0,0,0,4,38,0,1,1,0,0,0,4,3,2,2,6,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,21,1,1,1,1,99,99,4,1,1,?
3964,8,1,1,0,0,1,0,28,1,0,0,0,0,0,4,30,0,1,0,0,0,0,1,4,1,1,4,15,3,0,0,0,0,0,0,4,1,10,65,3,0,0,0,0,0,0,2,21,1,1,1,1,2,4,3,1,1,?
