@relation 'totalincome-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.unsupervised.attribute.Remove-R45_set_8_of_10-weka.filters.unsupervised.attribute.Remove-V-Rfirst,last'

@attribute random_ID numeric
@attribute 'class_predicted_by: RandomForest' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
8285,13
6865,13
5859,12
8196,13
8454,12
8096,7
6188,6
9281,12
9508,12
1343,13
5912,13
2682,14
7260,12
2739,11
2231,5
7711,13
7075,13
2094,11
7014,12
5142,14
3687,14
4189,6
3216,5
6860,14
9965,10
5381,13
8485,13
2322,12
8327,12
3174,14
1502,11
9639,13
237,12
4549,14
5342,13
816,13
8724,12
2858,14
3055,12
6351,13
7575,7
5262,13
4431,13
4959,13
106,2
6897,13
8658,14
9434,14
5192,13
8750,11
6417,12
2872,7
2862,13
231,14
741,14
2832,12
5875,12
7129,12
688,7
445,13
9724,14
7047,5
510,13
6735,12
300,13
865,10
5132,14
8500,12
1381,12
8705,13
4496,6
8467,12
8933,12
5077,14
5556,13
2923,7
4166,14
9406,13
9770,5
9562,12
6421,14
8245,12
2790,14
2659,11
9972,7
251,12
727,14
4813,14
8806,12
9452,14
585,12
8465,14
7617,12
1321,14
6089,12
2439,13
5495,12
5420,14
6675,10
9362,12
7106,14
9718,13
3859,14
5160,7
7130,4
3183,12
6242,13
8180,14
1404,7
8969,14
9212,13
6936,10
9287,12
8984,12
2848,4
6463,13
5444,7
8271,14
9884,12
6876,14
3651,14
3777,14
8464,12
6352,13
3145,13
4730,12
420,12
7751,14
5854,12
5187,13
5695,13
4809,7
9249,12
9299,12
1457,13
6716,14
8875,12
8632,12
9587,14
2686,12
3793,13
9398,13
4229,12
690,12
3163,9
1725,11
2227,13
7664,14
2487,11
3245,14
3971,14
7068,5
6344,13
5573,14
6673,7
3160,14
1276,10
5365,8
7142,7
88,12
6846,12
1367,13
3774,6
5231,13
2032,14
2877,13
635,8
5566,13
5184,14
5326,12
4818,12
4509,11
8430,7
7609,14
1841,13
7167,12
8211,14
6829,7
6632,12
8492,12
7645,12
1040,14
3945,14
651,14
8372,14
5780,13
9494,12
6819,12
9656,14
1209,11
5721,13
8016,7
5722,7
8510,14
5261,13
6112,12
4679,13
899,11
8140,14
658,12
5157,12
5486,14
3346,10
2264,14
4324,14
9266,13
1634,11
3298,11
9216,13
8657,12
1184,10
6430,12
3878,14
1871,12
1925,13
9777,12
2504,13
2164,14
3634,14
3138,12
6143,14
6177,14
7441,13
6986,11
2142,9
9154,5
6233,14
6839,14
7229,14
7079,13
6718,7
2760,12
2580,10
5719,12
9564,13
5240,5
2426,12
9785,11
1331,13
2024,11
1038,8
5128,11
7396,12
1681,7
6079,13
2804,6
9128,14
9801,6
8082,14
3767,14
8120,14
