random_ID,'class_predicted_by: RandomForest'
5560,12
7717,14
6049,13
7805,13
8802,12
7014,12
5115,14
9867,12
5519,14
5495,12
5113,13
5082,14
9696,12
7053,12
7504,12
9644,13
9893,14
5575,12
8302,12
9494,14
7541,13
4146,12
9894,13
6216,14
9535,13
8584,7
4896,14
9453,7
7148,14
9766,14
4454,13
9216,13
5936,12
5069,12
4551,13
8848,12
5123,7
6473,13
4061,13
7515,12
7738,14
8478,14
9719,4
8279,13
4808,13
7748,14
7069,12
9564,14
5074,12
4545,12
9373,14
8555,12
7724,6
5426,5
9097,7
7760,12
9414,12
5028,14
6087,14
4436,12
9711,13
9768,14
8615,14
5104,13
5846,13
5119,14
4149,14
6209,7
8098,12
5857,14
6741,12
6477,12
7155,14
5141,12
7118,13
5281,13
9339,5
9673,7
5399,14
6844,13
4385,12
9734,5
9359,9
6364,13
7560,6
5976,12
6255,14
8311,14
4603,5
6668,6
8966,14
4488,11
4763,14
9380,12
7897,12
8614,12
8033,12
7644,14
4509,11
9969,13
6334,13
7947,14
8323,13
5293,13
9287,12
4171,11
7320,12
7020,12
4046,12
6585,14
8644,12
9954,12
5540,13
5231,13
9828,14
8121,8
6285,11
9559,13
6370,7
4986,12
8145,12
9321,14
9212,13
8850,12
4100,12
5521,12
9184,7
6241,5
7301,10
5219,13
7705,12
8633,13
5070,11
9000,12
4403,12
8268,14
8636,13
7765,12
7328,11
9157,14
7869,12
9055,14
4475,14
6202,13
8454,12
8548,13
9929,12
7693,14
4432,13
9676,6
5099,11
6514,12
5068,14
8321,12
9308,14
7517,14
5142,12
4607,14
8391,13
7168,12
8683,11
9509,12
8480,10
6284,6
7403,12
4658,14
6898,6
7842,12
8234,12
6010,12
5048,13
8054,14
7531,12
9807,14
7480,14
8878,14
7144,13
5255,5
5109,12
7364,14
5480,12
5187,13
9302,13
8541,13
4042,13
9253,12
9887,13
6029,13
7907,13
5063,13
7086,14
6427,14
5391,4
6053,14
9591,14
6273,12
5145,13
8081,14
7723,12
7004,12
4952,13
7127,14
6347,14
7265,12
6279,12
6949,6
8291,14
6445,14
7832,13
6657,14
5301,13
5174,12
5648,11
7593,12
9482,12
5576,14
6048,12
9440,14
8376,12
7200,13
5129,14
8180,14
7846,12
9903,14
8678,12
4456,13
6696,12
6907,12
8372,14
6077,13
4040,12
7618,14
6520,13
9702,14
8726,12
5111,7
5386,14
6773,13
5703,14
4458,14
4191,12
8114,13
7337,11
8248,13
7630,12
8211,12
6772,13
9846,12
6935,12
5437,14
4023,13
6354,14
5250,14
8169,13
9090,12
4215,13
9787,13
7365,12
9959,12
4557,12
6117,14
7737,12
6802,7
9341,14
8557,11
5827,13
5200,12
4554,14
6499,12
9694,14
6098,13
4241,13
4809,13
6905,7
7182,7
3978,14
7419,14
4221,7
9718,12
7044,12
6513,7
7249,14
6039,12
6099,12
7159,13
9310,7
4505,12
7348,14
9120,13
6076,14
4576,5
4828,14
5086,14
8386,12
7588,14
6930,12
4139,13
9994,12
8572,10
8438,12
9450,14
7685,12
5611,14
5847,14
3972,12
7389,13
4713,13
7712,12
9371,14
5956,7
5404,12
6459,12
7637,7
3957,12
9206,14
8552,12
5381,13
9885,13
9532,13
6867,11
4145,13
8669,14
5661,12
7405,11
6918,14
8998,12
7285,14
4584,13
6667,3
5529,14
9708,13
7329,14
6151,14
8559,14
4224,12
9476,12
7896,14
6118,13
4192,12
6307,14
5764,13
9540,12
9364,10
6921,7
7540,7
6588,14
4227,12
7700,13
6372,12
9372,12
