random_ID,'class_predicted_by: J48'
8724,12
2616,14
2821,8
6515,12
907,14
5914,13
5434,9
8778,8
4604,9
3201,13
1652,5
855,10
2239,12
9053,14
177,12
5708,14
2477,14
6440,12
1466,13
7753,14
7202,5
5750,12
6671,4
4510,13
5004,13
510,7
5638,12
2230,12
9188,13
7457,13
5414,13
655,11
1620,12
9485,14
989,12
5359,14
3,12
6435,11
3018,9
9760,14
2909,13
2042,14
4687,13
4882,14
3554,13
687,10
1993,14
4587,11
6762,3
9956,6
174,8
9146,9
4747,6
5234,14
5037,13
9803,14
5330,14
7728,12
5556,12
9480,10
8162,12
1621,12
4187,4
2315,13
454,14
2049,12
7808,7
8719,13
481,5
8287,12
6478,12
3077,14
2244,14
3026,7
92,12
8222,13
5052,13
7669,8
5577,6
958,14
6229,13
4466,12
2521,13
7263,14
7075,12
5842,14
1299,8
3739,13
1098,13
5474,12
9947,14
9067,12
9155,13
2930,13
3047,13
5979,8
6848,13
6706,13
7105,11
4340,12
7135,13
9045,13
1301,14
9455,12
7188,12
6936,11
7309,2
237,12
1245,12
1516,14
2836,14
8457,13
1598,11
8140,14
5487,13
7143,14
1413,14
2980,14
9919,14
2743,12
7655,14
5599,12
9754,7
9992,9
5046,12
9496,12
5578,7
2584,6
69,14
388,12
3832,13
4717,12
6004,13
2311,13
8511,11
8946,12
5059,10
9404,11
9771,14
5675,9
2298,14
1694,10
645,14
7559,13
47,14
7442,12
9991,14
5261,13
5029,12
9269,12
6683,13
965,11
430,3
384,12
6078,12
9484,11
3403,5
9080,13
259,12
5522,11
5139,13
1633,14
9785,12
9189,12
4265,11
9518,11
7409,13
3894,8
8067,14
7489,12
97,11
6748,2
4041,12
8663,12
695,12
1772,7
6828,14
3604,14
9640,13
3288,12
1807,14
3508,13
7284,10
3516,13
6728,14
2030,13
3016,13
1203,13
9517,12
2361,14
35,10
4698,14
3252,14
1742,11
39,13
2637,12
8748,14
4002,9
5761,14
6895,14
8199,14
5600,12
6136,3
7834,12
3356,13
3295,14
28,13
2929,13
4038,7
1645,11
9285,12
688,7
4194,12
3615,14
1648,13
7408,7
566,14
4060,13
2854,13
8361,14
1278,12
1580,14
7671,11
2438,14
1227,13
1448,12
3314,7
9616,10
1707,10
5088,13
1526,14
5022,13
973,13
6242,13
8374,12
3228,14
5844,12
2032,13
1219,11
8753,13
5999,6
1246,7
7330,14
9650,14
6496,13
427,13
1745,13
803,13
3776,12
812,11
1131,13
2409,13
8799,13
3411,13
8139,4
4131,13
5709,14
8299,13
8703,12
444,11
8671,9
8193,11
3117,4
863,11
4449,13
6159,13
787,14
8315,12
6414,14
3835,11
7934,12
9619,13
4619,12
2753,6
8536,7
7058,13
3864,13
6102,6
4392,14
3017,13
9881,12
4395,9
4414,13
9681,11
5870,3
5953,14
2558,12
5985,2
3108,13
1863,10
9394,7
7546,12
2306,12
6641,13
919,12
6175,12
6060,12
3991,14
8889,12
1791,6
2160,14
4752,6
7935,10
865,7
61,13
682,14
8854,12
1401,13
5588,4
7734,14
2455,14
5765,14
8296,12
6625,13
5453,13
867,12
5431,12
7360,13
4944,12
9888,13
1237,12
538,11
7388,11
2596,11
6476,12
1832,14
7305,13
3650,12
5902,14
1825,11
2417,14
1660,14
8527,6
4591,12
4938,8
6569,12
2377,13
2567,9
5619,9
7433,13
6535,12
833,5
7756,13
5269,12
6290,13
7220,12
4746,13
4377,5
8025,13
4830,12
4706,12
1578,6
2512,13
217,6
9641,12
1746,14
5334,13
2738,14
5189,14
4521,12
291,10
9649,14
2997,13
6121,12
8654,12
8359,6
2472,11
1734,8
6437,9
3249,12
2773,12
1342,13
1400,13
5772,13
5465,12
6093,13
1289,14
1423,7
3469,12
7062,14
396,12
4355,14
342,11
6603,14
2339,9
8512,14
1207,12
9443,14
5863,13
7003,14
4036,12
8044,14
8877,13
4283,7
2475,11
8760,13
125,12
8105,8
2626,13
962,12
7156,13
4840,12
5457,5
1304,6
3846,12
162,14
9624,12
7966,11
5356,14
653,13
719,7
8518,12
4850,13
3412,12
6703,6
3226,14
8898,10
2369,10
6460,12
1198,12
628,13
1432,13
9431,13
8590,7
5413,13
8992,12
8024,14
4256,7
7128,13
6456,12
5602,10
2110,14
6142,13
3977,13
6832,12
2875,13
4851,9
6018,12
814,7
6782,13
2801,14
871,12
2826,14
7673,13
9234,13
8651,13
8468,7
5340,12
9598,14
4565,13
2426,14
9813,14
4272,9
6547,4
6103,12
738,13
9941,13
2570,5
1321,13
9921,13
4974,12
6950,13
7374,7
242,14
234,10
1499,4
7604,11
2431,12
6621,5
4594,9
1465,11
2659,14
2701,13
8495,12
4494,8
9360,14
181,14
9247,11
7215,13
5196,9
8016,9
4452,12
