random_ID,'class_predicted_by: IBk'
6570,13
6223,8
9249,12
9997,14
5985,6
6669,10
6078,14
5665,10
7257,13
9648,6
5157,5
5800,8
9739,12
6630,14
9745,14
6374,14
6977,13
8172,12
5726,9
8621,13
4181,9
9964,9
3999,13
9183,7
9379,11
5729,14
6495,10
4198,13
8979,13
4706,12
7580,14
10000,13
5302,7
8383,14
7263,14
5339,11
8251,11
5539,5
9405,7
9685,10
6602,13
9294,13
8050,13
5307,13
8882,6
9853,7
5396,11
4300,14
9150,7
6557,12
5907,7
9825,12
8275,13
8612,12
5735,6
7444,14
5737,13
8738,10
5021,11
8231,13
7710,12
7483,14
5309,14
6438,12
9770,8
5175,13
8864,14
6812,12
6463,13
3983,12
8542,11
7572,13
6572,14
9075,12
8623,13
4196,10
9125,14
4781,11
8566,12
9105,11
6411,12
5683,13
8832,13
8287,9
8196,8
9960,12
8883,14
4527,14
4873,14
5761,14
5713,12
4158,12
7642,14
8875,12
9707,12
8580,12
5199,13
4324,14
4585,9
4053,13
4760,14
4575,11
8069,14
5376,14
5824,7
9537,10
4589,12
9047,13
7401,9
6213,13
9666,12
7789,8
8666,12
5368,13
8305,12
4988,14
8606,13
4409,13
6870,14
7353,5
5143,5
5311,12
4142,14
5828,13
6449,11
4665,12
9487,12
9730,6
5562,12
9874,13
6662,9
9061,11
7601,13
9528,5
7330,12
4402,8
6395,11
4225,7
8591,12
8544,10
7754,6
4422,13
6322,12
6073,5
8631,7
4371,13
9179,7
7106,14
4283,7
7068,12
6111,14
8499,9
9306,12
6894,10
8806,12
5280,13
7322,13
7105,11
5488,13
8263,12
5992,13
9833,13
5234,14
7205,9
4792,13
6904,14
8618,12
8627,13
9168,12
5009,14
7125,13
5696,5
6137,14
8707,13
6210,8
6072,13
8317,14
4597,7
5052,11
9474,13
9967,11
6847,12
4833,12
4024,14
7900,7
9443,14
4335,14
6293,14
5466,12
3962,7
5887,12
8655,12
6083,5
9067,5
8026,14
4247,11
5766,14
9447,11
8120,14
5710,14
4296,12
9057,14
7288,13
9343,11
8766,14
5955,11
5093,7
7072,14
5287,7
7810,7
9197,14
4429,14
9898,7
9033,13
6351,13
6560,11
8278,12
4115,12
7521,11
8711,4
7692,6
5365,8
5919,8
8315,10
8608,12
9048,12
9377,13
4923,5
8874,7
5900,13
5205,12
6859,14
5298,14
9472,5
8167,10
7519,12
8479,12
5122,13
5350,13
8409,13
6288,12
6312,12
6883,13
6868,10
3971,14
7393,12
5065,14
6298,13
5502,13
8166,11
5853,10
7294,14
9243,13
8496,12
9851,11
6506,13
4319,14
5732,12
9792,14
8925,14
6581,14
9520,14
9961,8
5046,12
8314,12
5544,12
6582,10
7659,6
4550,13
7934,12
8368,3
4670,14
6617,14
5915,13
5299,12
5168,11
5905,12
7628,13
5417,12
5909,13
8092,12
4014,9
9714,12
5018,12
5055,12
4487,13
6094,12
5044,10
8429,9
5128,12
8522,12
6490,14
5606,14
5834,14
4600,4
9044,12
9965,10
6282,12
4735,11
8682,12
4368,12
4756,13
4635,11
4813,13
6899,13
5546,14
4581,11
5588,7
7445,3
6164,14
8879,5
7857,14
4657,14
8065,12
9387,12
6855,13
4761,13
5994,14
8385,13
7178,12
9037,12
6335,12
4123,10
5208,12
7242,9
6711,13
5636,12
4099,14
7746,13
7650,12
7573,8
8634,7
8518,12
8066,13
4912,12
9312,13
7930,13
5553,14
8980,13
5911,12
7050,14
5398,12
5271,12
8513,14
4587,12
5153,13
5373,13
5316,8
9365,11
7001,14
4369,11
6752,13
7338,10
8829,12
5195,9
6644,6
6420,9
4959,7
4282,7
8811,14
4210,14
4220,13
6658,14
7059,12
9948,14
6740,12
7290,12
7877,13
5333,12
4140,8
9324,13
4398,12
4549,14
7916,6
9983,13
4233,3
4497,13
9397,7
9328,12
4338,14
6616,10
6778,14
8563,12
7304,13
6950,12
5469,7
7708,5
6082,14
7649,14
8124,13
4748,14
6996,10
5184,13
4786,13
9496,12
4485,11
7756,11
5697,7
7474,14
5446,10
9279,12
9726,7
8318,11
7314,10
8523,14
7714,7
6853,11
4076,13
7965,10
5922,13
8827,13
5491,10
6054,13
5816,11
7023,3
8270,13
8130,14
4257,14
8890,11
4175,13
5699,9
6426,10
4965,13
6037,14
9174,5
9991,14
6815,14
5741,4
8083,13
4387,14
4674,12
3988,12
9669,13
5239,13
7784,14
9758,12
8895,14
7213,12
5747,13
6095,13
6172,10
6673,7
8538,13
4708,13
9410,13
9242,12
7100,13
6407,13
6994,12
6565,12
8297,12
4528,10
7138,10
4055,14
5189,14
3977,13
4830,14
5934,13
4623,12
8714,12
6716,14
6768,12
1968,14
2380,14
768,12
3688,12
2371,13
2635,14
3315,14
3011,13
3731,13
3267,14
3201,13
1047,13
1367,14
3340,13
2137,13
312,12
1785,13
2854,5
2139,13
3400,12
2842,5
2140,12
1272,13
21,13
431,12
1604,12
103,13
721,13
3707,12
521,13
1014,12
100,12
2955,12
3809,3
528,13
2704,14
1525,14
3403,12
1591,14
1501,9
1897,13
645,14
2033,14
1044,14
2050,13
1310,14
3446,14
1659,13
2849,12
3683,11
1654,11
2479,12
2374,11
187,13
1929,13
1775,13
450,11
2710,12
1740,14
2341,14
2127,12
2909,13
2762,13
1100,13
1322,14
3910,13
1582,13
2469,13
3530,11
2596,12
1894,13
2552,12
17,12
2130,13
2521,14
578,10
392,11
1207,13
2234,13
1623,13
2557,14
527,6
1368,11
3697,11
2146,9
1338,13
179,13
3566,13
1991,14
2351,11
2474,12
1840,12
1539,12
2296,10
3234,14
3353,14
211,13
1987,12
3097,12
626,12
1328,11
2039,14
2618,10
2124,4
1025,11
648,14
2789,12
1744,8
3039,14
2619,12
539,13
1049,14
3350,14
2883,11
3728,11
3197,10
3253,12
2957,11
3209,12
3813,12
3942,13
3879,13
3785,12
3772,10
128,11
2438,5
2873,12
793,11
2520,13
998,11
1886,5
99,13
1698,13
3507,8
3067,13
757,14
807,14
3814,13
13,14
3003,14
741,13
31,12
2927,9
1232,11
2869,14
2280,12
3567,14
3228,12
2882,14
108,14
3243,14
1880,14
2430,14
657,11
1593,14
872,12
2112,11
2395,14
2980,14
2403,11
1694,10
3321,13
3426,14
117,14
2702,14
1013,12
1560,14
2412,14
1881,10
1173,12
2435,13
3733,14
2502,14
500,10
1199,14
309,7
3311,13
2445,14
3245,14
3896,12
463,14
1385,14
2971,14
3424,14
2676,12
2320,12
1253,13
231,14
531,14
1629,13
2960,12
3447,14
3518,14
3726,14
89,14
791,12
2813,13
3450,12
177,13
1597,12
575,13
1215,4
2923,7
726,8
3497,11
229,7
1246,10
1394,8
1772,5
2941,11
474,6
2638,13
2529,7
3820,12
24,13
863,9
3133,11
777,9
1621,11
2937,10
97,13
1267,9
2649,7
