@relation 'totalincome-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.ClassAssigner-Clast-weka.filters.unsupervised.attribute.Remove-R46_set_9_of_10-weka.filters.unsupervised.attribute.Remove-V-Rfirst,last'

@attribute random_ID numeric
@attribute 'class_predicted_by: RandomForest' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
6421,13
6486,12
9758,14
8992,12
1248,13
3388,13
9225,6
5765,14
7415,13
128,12
127,13
2245,8
9635,14
7051,12
3664,12
2177,6
1901,7
7150,14
1455,3
4381,12
5044,9
6727,13
5041,14
182,11
914,13
9113,14
8662,14
8319,12
2599,13
9258,12
4658,14
3784,9
3840,12
6625,14
3968,14
1725,11
5971,14
7407,13
5854,12
5697,6
1415,10
3626,13
41,13
5062,14
4414,12
4804,14
757,14
5355,12
7099,13
142,13
8414,14
2803,12
103,13
8759,12
2061,12
2076,13
875,7
1685,13
6441,14
9754,14
2059,6
4908,13
9296,5
4941,13
3223,14
1166,12
9362,11
5827,12
3133,11
6622,12
2117,12
18,14
7761,12
3470,14
9437,12
5500,13
6719,13
2888,13
7638,12
2481,12
9964,13
7665,13
8547,14
566,13
6032,7
4787,14
6106,14
5842,14
5437,14
5164,13
6672,12
2196,14
6168,13
9918,12
5033,7
8573,14
4706,13
6034,13
7639,12
1549,11
2773,12
5565,13
9169,13
3822,8
5563,13
2505,12
9550,12
7710,13
1032,8
1623,12
3634,14
1757,12
5077,13
3413,13
2227,13
1110,3
5934,14
9909,10
7212,14
6897,12
3410,13
4493,10
6490,13
4140,12
6351,13
7345,14
1508,12
9903,14
100,13
429,13
3942,12
1075,7
5794,12
5482,13
4601,7
8604,13
6429,12
9465,12
4025,14
1151,14
3267,13
7276,12
7599,7
4254,14
3709,9
1806,7
841,14
7756,14
259,12
9645,12
1897,13
4174,14
7649,14
8849,11
1411,14
910,12
3758,12
1433,8
5156,12
651,14
6557,12
2872,7
351,4
1333,8
2681,13
2214,12
7506,14
4329,14
3715,12
6953,14
3030,4
8180,14
7655,14
9776,14
5227,12
9391,12
374,7
9327,12
2356,13
8400,14
9052,13
9270,12
1063,12
3490,12
1368,12
6478,13
2410,12
6517,12
575,14
8555,12
2373,12
2287,14
5505,14
2596,12
4472,8
7314,10
531,14
8557,13
9429,12
5551,14
2923,7
9900,14
8535,14
9834,13
265,10
1184,10
4743,14
5756,13
1934,9
4595,12
5732,12
8341,14
6754,14
9734,5
2584,6
4298,6
7951,12
6883,14
3326,14
7986,13
4883,14
4160,14
6783,14
3078,13
1428,13
7938,14
9637,12
8870,7
1874,7
8154,13
4312,6
8588,10
1514,14
3341,8
1404,7
7507,5
298,14
8737,12
9954,12
5751,12
3533,13
7853,13
4068,13
2851,14
698,11
6873,12
2659,11
4739,5
4059,13
2648,14
552,10
9764,13
2961,12
475,12
862,13
3104,10
5753,13
7793,12
4369,14
5485,6
3188,14
649,14
3992,14
7934,12
496,14
7340,14
6288,12
2938,14
1197,9
5698,7
6344,13
7080,7
9778,12
9625,9
4932,12
3895,12
9216,12
4674,12
8637,14
3047,12
8632,12
7918,13
3467,13
9050,13
3153,10
6741,12
8903,12
9959,12
2675,13
3589,3
5572,14
2899,13
9866,12
8784,12
4761,13
3235,14
5159,14
7954,14
9627,7
1600,10
9378,14
3969,12
139,12
4183,12
1635,8
7439,14
2243,14
1466,13
3841,12
3677,12
6444,13
6765,13
1713,13
8306,13
1639,14
9634,6
7900,6
1182,12
6359,12
4074,12
7713,12
2520,12
3061,14
3631,14
7337,10
423,11
2903,7
4196,12
9788,13
4355,12
6204,7
4781,14
5611,12
3927,13
9121,14
8733,14
8432,12
1802,7
780,14
1712,13
810,9
3230,12
3092,12
3450,14
6543,12
5615,14
648,12
7714,11
5129,13
3216,5
21,13
2026,12
3364,14
387,14
9836,12
271,14
394,7
6880,12
845,13
6994,12
4100,14
8963,14
3528,6
3714,12
6119,12
8851,13
5979,14
8817,14
8411,7
9223,14
635,8
1836,13
7429,11
553,12
8536,8
6777,11
7721,12
6818,12
5318,14
6757,14
6213,13
6999,14
5419,14
1586,11
6235,13
8065,14
3555,11
7812,10
5568,5
5418,12
5102,13
8275,12
9555,7
2554,14
3344,9
1142,7
626,12
3050,12
6893,14
6621,4
8890,13
3950,4
3167,11
3148,12
2253,11
6962,12
7472,14
6134,7
5307,12
5682,14
9958,13
3120,12
6127,14
8680,14
3396,14
1060,14
9968,12
419,10
8482,12
6927,14
7504,12
789,7
5798,14
7056,13
4520,14
6167,14
4127,12
9871,12
9587,14
4315,11
4026,12
6219,14
5758,12
7081,6
4400,12
2350,12
2623,13
8811,12
4575,13
1451,12
5454,12
3170,12
6763,13
9725,13
3795,8
8896,12
5029,12
2121,9
7820,6
868,12
4490,14
728,4
5541,11
8709,11
8510,7
8327,12
3484,13
1559,10
2003,12
9697,13
937,13
2651,6
6512,14
5240,5
4286,12
9536,10
2802,13
1790,10
7322,13
7119,14
9481,14
3065,13
826,13
5009,13
6542,14
1649,12
3672,14
9208,14
7064,12
2934,7
4055,13
2900,8
3015,14
5086,12
8649,13
2767,13
4433,12
4603,7
2570,5
6950,14
1324,12
1745,13
1622,13
9929,12
656,14
7343,12
4393,7
6225,6
348,8
5578,5
6593,12
6181,12
7992,10
6815,14
842,14
3441,14
6972,12
5770,12
6703,11
5295,12
3176,13
8707,14
680,14
7142,12
1457,13
5026,12
2366,13
5778,14
8359,6
1460,14
7426,14
9860,12
7574,5
3976,14
3872,13
9843,14
7939,14
1239,5
343,12
2002,10
5204,14
3662,13
8254,14
957,14
1770,12
7169,14
1307,6
1479,14
1094,13
4727,10
7760,12
5122,12
7216,12
1867,12
5375,14
2166,14
4076,14
4356,12
5972,13
7846,12
6960,13
7959,12
9410,14
9188,12
2490,13
1382,13
5473,14
7715,14
9266,14
6997,14
5262,14
3638,11
5303,12
1238,9
7409,13
5118,7
3207,12
5410,14
7231,12
7482,7
1106,7
3132,12
8023,13
7783,14
7702,14
9598,14
1311,14
4335,14
6065,12
5748,14
6072,13
2723,14
1530,14
5416,14
6461,14
8597,14
3582,13
