@relation 'finalcorrect-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.ClassAssigner-Clast_set_12_of_12-weka.filters.unsupervised.attribute.Remove-V-Rfirst,last'

@attribute random_ID numeric
@attribute 'class_predicted_by: RandomForest' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
573,14
4422,13
478,12
7975,12
4137,12
5102,13
6010,14
6061,12
1835,14
2497,9
9334,12
689,13
7284,12
4247,14
6598,12
9381,9
5481,14
3447,14
7001,14
8243,12
7396,10
4385,12
1662,13
3770,12
1393,9
8503,14
5936,4
3166,7
9398,13
8807,13
9704,9
6366,10
7122,14
8101,14
572,12
9283,14
4017,12
1772,7
3730,14
5577,7
6474,13
6691,13
3046,5
8665,14
3413,13
7082,13
2280,14
6563,12
4946,14
8374,12
6450,14
8084,14
424,12
1479,14
4525,14
6585,12
3018,12
3722,14
9660,13
97,11
3034,3
4189,7
8559,12
6568,13
726,7
1372,12
2524,10
6508,13
9048,12
4280,13
3257,14
5895,7
4489,13
2864,14
9206,14
8766,12
4086,5
5240,5
2560,5
7846,13
3864,6
3049,8
6776,6
1198,13
7779,12
745,12
7983,12
8050,12
3146,14
2986,14
1375,14
4941,14
2358,14
8273,13
68,13
6675,10
3263,13
4583,12
1216,12
1274,13
5494,12
6323,12
3596,11
2370,14
6352,13
8685,13
5413,14
7915,14
6530,14
4009,14
8098,12
8538,12
3243,14
7340,13
588,4
5714,13
4481,14
1435,14
143,11
9254,11
381,14
1005,6
8189,13
6334,13
9818,12
6669,12
8891,14
4529,11
1882,12
8480,12
9262,13
9663,12
4576,5
427,11
9038,12
9256,12
7322,13
3140,13
2882,14
1568,14
8674,6
8060,12
4294,12
3001,7
139,12
8403,14
2599,13
2638,7
9308,14
3282,9
5242,12
6080,14
5253,13
4830,14
2913,11
5357,7
735,12
8644,14
9859,14
645,13
686,12
2833,8
3645,14
4747,7
4967,12
1560,14
3426,14
8570,12
8919,12
8791,14
8931,14
2665,13
5202,10
4867,4
6614,12
1027,11
5046,13
877,8
7031,12
4225,7
6896,14
9288,13
779,13
1263,9
5037,11
1451,12
3934,10
5701,14
4748,12
6681,13
8657,13
3145,13
6643,13
8044,12
13,14
8669,14
4490,13
7845,12
2017,13
5377,14
9475,14
3185,14
4235,13
2716,6
2612,11
2549,14
7230,12
4209,11
9178,12
9250,14
8216,14
8275,12
3869,11
3399,10
9196,14
1378,12
7320,14
9209,10
590,13
7084,14
5970,14
9278,12
69,14
2402,14
2646,9
3681,12
644,9
1371,2
2325,12
2681,13
1103,14
5570,14
6847,12
1174,7
6060,12
3839,12
1311,14
3808,12
8252,14
5354,13
7493,10
4923,2
8085,13
7839,12
5919,13
4377,5
7178,12
8636,13
2598,14
9304,14
9468,12
7766,12
1095,13
6483,14
1245,11
8879,4
1143,12
4392,12
1898,14
969,14
7728,14
2164,14
1948,12
5210,12
7197,14
5278,12
254,10
6336,14
8972,7
9870,14
1891,13
7672,13
2932,11
39,13
8251,7
5996,13
7250,14
2989,13
919,12
5574,13
2306,12
4309,14
710,10
482,13
8055,10
4075,14
6908,12
4069,13
2140,13
1215,7
9742,11
7750,5
8871,13
8591,12
2884,6
7688,13
1238,9
6607,13
7088,12
7704,13
7640,7
6119,12
756,9
2726,12
1035,9
833,5
5006,8
46,12
2273,14
767,13
6418,12
6079,13
4711,14
3508,13
1873,12
2025,10
4347,12
4555,12
3333,13
5863,12
5365,14
5628,14
1966,14
47,12
4500,7
5175,14
4539,13
5070,13
2043,14
9068,13
108,14
2290,10
3745,14
6830,3
3944,10
3364,14
8730,14
5509,7
6791,5
5143,5
1693,13
2243,14
3194,10
8784,12
6048,12
7638,12
7876,12
9039,14
4058,12
9618,12
6799,13
