random_ID,total_income_hhld_code
1,13
2,7
3,12
4,14
7,12
8,12
10,14
13,14
14,12
15,10
17,12
19,12
20,10
21,13
22,14
23,13
24,7
25,12
28,13
29,12
30,14
31,14
33,14
34,14
35,10
36,14
37,9
39,13
41,13
42,14
43,8
46,12
47,12
48,10
49,14
50,11
52,7
55,12
57,10
58,13
59,3
60,9
61,13
62,14
68,13
69,14
71,3
72,13
73,13
76,9
78,13
79,11
80,13
81,14
82,12
83,14
86,13
87,14
88,12
89,14
92,14
94,13
95,13
96,13
97,11
98,11
99,14
100,13
101,14
103,13
106,2
108,14
110,10
112,12
113,12
115,11
117,14
118,13
120,14
122,13
123,8
125,14
126,7
128,12
129,11
130,10
131,11
132,8
133,4
134,14
135,7
136,9
137,12
138,12
140,14
141,13
143,11
147,14
149,7
150,13
151,11
152,14
153,12
154,14
155,13
156,12
157,10
160,12
161,11
162,10
165,14
170,6
172,9
173,14
174,8
175,12
176,10
177,14
178,9
179,12
181,14
183,7
184,14
185,10
186,12
187,13
188,13
189,12
190,11
193,11
195,13
196,14
197,11
198,13
199,12
200,14
203,9
204,13
205,14
206,9
208,13
209,12
210,12
211,12
212,2
215,14
217,6
218,11
221,5
222,10
225,14
227,12
229,7
231,14
233,14
234,11
235,12
236,9
237,12
238,14
239,10
240,14
242,14
246,13
247,13
248,12
249,9
250,14
253,10
254,10
255,12
256,12
257,14
258,14
259,12
260,11
262,14
263,14
264,13
265,10
266,9
267,13
268,13
277,14
278,14
279,12
280,12
281,13
282,13
284,13
286,12
287,5
288,14
289,12
291,10
292,12
294,14
295,9
297,14
298,14
299,11
300,13
301,10
302,10
303,10
305,13
307,5
309,14
310,12
311,12
312,13
313,14
315,11
318,6
323,14
324,12
326,14
329,13
330,12
331,8
332,10
333,11
335,14
336,12
337,10
340,13
341,12
342,11
343,12
344,12
345,12
346,11
347,13
348,8
349,13
351,4
353,13
354,14
355,11
356,14
358,12
359,11
360,12
362,13
363,14
364,14
367,9
368,11
369,12
370,10
372,12
374,7
375,7
376,5
377,12
378,12
379,13
380,14
381,14
382,9
384,6
385,6
386,13
387,14
388,12
389,12
390,12
391,6
392,12
394,7
396,8
397,10
398,11
399,13
400,9
401,11
402,14
404,8
408,12
409,13
410,12
413,12
414,14
415,14
418,12
419,10
420,12
421,12
423,11
424,12
426,13
427,11
429,13
430,3
431,13
433,11
434,7
435,11
438,7
441,9
442,12
443,13
444,11
450,13
451,11
453,12
454,14
456,5
457,14
458,13
460,12
462,12
463,14
465,10
466,14
467,12
470,14
471,12
472,13
473,13
474,7
475,12
477,8
478,12
479,12
481,5
482,13
485,11
486,14
488,13
489,7
490,14
492,7
493,14
494,13
496,14
500,14
502,14
505,10
506,10
507,11
509,14
510,13
515,14
517,14
519,14
520,13
521,13
523,12
525,2
526,12
527,12
528,13
529,13
530,14
531,14
532,13
533,6
534,13
535,12
538,11
539,12
540,14
542,5
547,7
548,13
549,13
550,12
552,10
553,12
554,12
555,7
558,14
559,9
560,12
561,14
565,10
566,13
569,12
570,10
571,12
572,12
573,14
574,13
575,14
576,13
577,5
578,12
579,3
580,12
585,12
586,5
587,12
588,4
590,13
592,14
593,13
594,10
595,11
598,12
599,13
601,14
602,13
603,13
604,11
607,14
608,8
609,12
610,12
612,13
614,12
616,13
619,13
620,3
621,10
622,10
623,13
624,14
626,12
627,13
628,13
632,11
633,14
634,12
635,8
636,12
637,12
639,7
640,13
641,14
642,12
643,13
644,9
645,13
648,12
649,14
650,9
651,14
653,13
655,11
656,14
657,14
658,12
662,8
663,10
665,4
667,13
668,12
671,1
672,13
674,12
675,9
677,13
678,11
681,13
682,14
683,12
684,12
685,14
686,12
687,10
688,7
689,13
690,12
691,11
692,14
694,13
695,12
696,10
698,11
700,12
702,12
704,13
705,10
708,12
710,10
712,14
713,11
714,11
716,12
717,13
719,7
721,13
722,5
723,7
724,14
725,8
726,7
727,14
728,4
729,13
731,11
732,11
733,9
734,14
735,12
736,8
737,12
738,13
740,7
741,14
743,12
744,5
745,12
746,13
747,7
748,10
749,4
750,14
751,12
753,14
756,9
757,14
759,11
760,14
762,14
763,13
764,9
765,9
767,13
768,13
771,13
772,10
773,13
775,14
776,14
777,11
778,9
779,13
780,14
781,14
782,12
783,12
784,9
785,11
786,6
787,13
789,7
790,12
791,14
793,12
796,10
798,13
799,9
800,13
802,14
803,13
805,13
806,11
807,14
808,11
809,12
810,9
811,14
812,11
813,13
814,7
815,4
816,13
817,11
818,12
820,12
822,4
823,13
824,12
825,13
826,13
827,13
828,6
829,13
833,5
834,9
835,14
836,10
839,8
840,12
841,14
842,14
843,14
844,9
845,13
846,13
847,11
850,4
851,12
852,13
853,12
854,14
855,12
856,7
857,9
858,13
860,9
862,13
863,11
865,10
866,14
867,12
868,12
869,2
871,12
872,14
875,7
878,12
879,12
880,13
881,11
882,14
886,9
889,10
890,7
891,14
893,12
894,13
895,11
896,13
899,11
900,12
901,12
902,12
905,7
907,7
908,11
910,12
912,11
914,13
916,14
917,14
918,7
919,12
920,12
921,14
922,12
923,12
924,7
925,8
926,12
927,12
929,13
932,12
933,12
935,14
936,13
937,13
938,7
939,14
940,12
942,13
945,14
947,7
948,14
949,13
951,10
952,13
953,3
954,14
955,12
956,14
957,14
958,12
961,9
962,12
965,12
966,12
967,14
969,14
973,13
974,13
975,11
977,4
979,12
980,11
981,14
983,11
984,13
985,12
986,13
987,5
988,4
989,12
990,8
991,14
994,12
995,13
996,13
998,12
999,12
1000,11
1003,2
1004,14
1006,14
1007,10
1008,11
1009,13
1011,3
1012,12
1013,14
1014,13
1016,13
1018,12
1019,14
1023,11
1024,14
1025,12
1026,12
1027,11
1028,7
1029,13
1030,12
1031,12
1032,8
1034,13
1035,9
1037,12
1038,8
1039,14
1040,14
1041,9
1042,13
1043,13
1044,13
1045,7
1046,12
1047,13
1048,11
1049,12
1050,3
1054,9
1055,6
1056,14
1057,14
1058,13
1059,14
1060,14
1062,13
1063,12
1066,12
1067,13
1069,13
1072,11
1073,12
1074,13
1075,7
1076,11
1077,12
1079,12
1080,6
1081,13
1082,12
1084,14
1085,14
1088,12
1090,14
1091,13
1093,7
1094,13
1095,13
1096,7
1097,10
1098,13
1100,13
1102,14
1103,14
1106,7
1108,6
1109,10
1110,3
1113,14
1115,13
1116,12
1117,10
1118,14
1119,14
1120,14
1121,14
1125,12
1127,14
1128,14
1131,13
1132,10
1134,12
1135,12
1136,12
1137,13
1138,13
1140,14
1142,7
1143,12
1145,12
1148,13
1149,12
1150,12
1151,14
1152,12
1153,14
1154,14
1156,14
1157,11
1159,14
1161,5
1163,6
1164,12
1165,14
1166,12
1167,11
1168,12
1169,12
1170,12
1171,12
1173,14
1174,7
1176,14
1180,12
1181,11
1182,12
1185,13
1190,13
1192,13
1193,13
1195,14
1197,9
1198,13
1199,14
1200,13
1202,13
1203,12
1204,14
1205,14
1206,14
1207,12
1208,14
1209,11
1210,13
1211,11
1212,7
1213,13
1215,7
1216,12
1218,10
1219,13
1220,11
1221,14
1223,14
1224,7
1227,13
1229,9
1230,6
1232,14
1234,4
1235,14
1236,14
1237,12
1238,9
1239,5
1240,14
1241,7
1243,13
1245,11
1246,7
1250,14
1251,14
1253,14
1255,12
1256,12
1257,13
1258,14
1259,5
1261,8
1264,13
1265,14
1266,7
1267,11
1268,10
1269,9
1272,13
1273,9
1274,13
1275,13
1276,10
1277,14
1278,14
1279,12
1283,10
1284,11
1286,13
1287,12
1288,9
1289,12
1291,13
1292,12
1294,1
1296,14
1297,7
1298,14
1299,8
1301,14
1302,12
1304,6
1306,13
1307,6
1309,12
1310,13
1311,14
1313,13
1315,14
1316,11
1317,14
