@relation 'finalcorrect-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.ClassAssigner-Clast_set_10_of_10-weka.filters.unsupervised.attribute.Remove-V-Rfirst,last'

@attribute random_ID numeric
@attribute 'class_predicted_by: RandomForest' {1,2,3,4,5,6,7,8,9,10,11,12,13,14}

@data
8724,11
2616,13
2821,11
6515,13
907,7
5914,14
5434,12
8778,7
4604,14
3201,13
1652,5
855,12
2239,12
9053,13
177,14
5708,14
2477,13
6440,12
1466,13
7753,14
7202,8
5750,12
6671,14
4510,13
5004,12
510,13
5638,14
2230,12
9188,12
7457,14
5414,14
655,11
1620,11
9485,12
989,12
5359,14
3,12
6435,11
3018,12
9760,14
2909,13
2042,5
4687,14
4882,13
3554,13
687,10
1993,14
4587,12
6762,7
9956,7
174,8
9146,5
4747,5
5234,13
5037,11
9803,13
5330,12
7728,14
5556,12
9480,12
8162,12
1621,11
4187,7
2315,13
454,14
2049,12
7808,7
8719,14
481,5
8287,12
6478,12
3077,14
2244,12
3026,7
92,14
8222,12
5052,14
7669,12
5577,7
958,12
6229,14
4466,12
2521,12
7263,14
7075,13
5842,14
1299,8
3739,14
1098,13
5474,13
9947,14
9067,14
9155,12
2930,13
3047,12
5979,11
6848,12
6706,13
7105,12
4340,12
7135,13
9045,12
1301,14
9455,12
7188,12
6936,10
7309,7
237,12
1245,11
1516,14
2836,14
8457,14
1598,9
8140,14
5487,12
7143,12
1413,14
2980,14
9919,14
2743,8
7655,14
5599,12
9754,14
9992,12
5046,13
9496,13
5578,5
2584,6
69,14
388,12
3832,13
4717,12
6004,12
2311,13
8511,11
8946,12
5059,13
9404,7
9771,14
5675,7
2298,11
1694,14
645,13
7559,12
47,12
7442,12
9991,14
5261,13
5029,12
9269,12
6683,12
965,12
430,3
384,6
6078,14
9484,11
3403,13
9080,14
259,12
5522,13
5139,12
1633,14
9785,11
9189,12
4265,7
9518,12
7409,13
3894,8
8067,14
7489,12
97,11
6748,14
4041,13
8663,12
695,12
1772,7
6828,13
3604,6
9640,14
3288,12
1807,14
3508,13
7284,12
3516,13
6728,14
2030,13
3016,13
1203,12
9517,12
2361,14
35,10
4698,13
3252,7
1742,6
39,13
2637,14
8748,14
4002,12
5761,14
6895,13
8199,14
5600,12
6136,7
7834,12
3356,13
3295,14
28,13
2929,12
4038,6
1645,11
9285,12
688,7
4194,12
3615,14
1648,13
7408,12
566,13
4060,12
2854,13
8361,13
1278,14
1580,13
7671,12
2438,12
1227,13
1448,11
3314,12
9616,12
1707,10
5088,13
1526,14
5022,12
973,13
6242,12
8374,12
3228,14
5844,13
2032,14
1219,13
8753,13
5999,7
1246,7
7330,14
9650,14
6496,14
427,11
1745,13
803,13
3776,13
812,11
1131,13
2409,13
8799,13
3411,13
8139,7
4131,13
5709,14
8299,14
8703,14
444,11
8671,7
8193,10
3117,5
863,11
4449,14
6159,13
787,13
8315,12
6414,14
3835,13
7934,13
9619,13
4619,13
2753,6
8536,7
7058,14
3864,6
6102,6
4392,13
3017,13
9881,10
4395,13
4414,13
9681,14
5870,7
5953,14
2558,12
5985,10
3108,13
1863,10
9394,12
7546,12
2306,12
6641,14
919,12
6175,12
6060,12
3991,14
8889,14
1791,6
2160,11
4752,14
7935,12
865,10
61,13
682,14
8854,10
1401,13
5588,7
7734,14
2455,14
5765,14
8296,13
6625,14
5453,10
867,12
5431,12
7360,12
4944,14
9888,14
1237,12
538,11
7388,7
2596,12
6476,12
1832,14
7305,11
3650,13
5902,14
1825,12
2417,14
1660,14
8527,5
4591,10
4938,12
6569,12
2377,12
2567,9
5619,11
7433,13
6535,14
833,5
7756,13
5269,13
6290,12
7220,12
4746,13
4377,6
8025,14
4830,14
4706,12
1578,6
2512,13
217,6
9641,14
1746,14
5334,12
2738,14
5189,14
4521,12
291,10
9649,14
2997,10
6121,12
8654,14
8359,7
2472,11
1734,8
6437,12
3249,14
2773,12
1342,13
1400,13
5772,12
5465,12
6093,14
1289,12
1423,13
3469,12
7062,12
396,8
4355,14
342,11
6603,12
2339,9
8512,12
1207,12
9443,14
5863,12
7003,14
4036,12
8044,12
8877,14
4283,7
2475,10
8760,13
125,14
8105,7
2626,13
962,12
7156,14
4840,12
5457,5
1304,6
3846,12
162,10
9624,12
7966,12
5356,13
653,13
719,7
8518,14
4850,12
3412,12
6703,9
3226,14
8898,12
2369,10
6460,14
1198,13
628,13
1432,13
9431,12
8590,7
5413,14
8992,12
8024,14
4256,6
7128,12
6456,12
5602,13
2110,14
6142,14
3977,13
6832,10
2875,6
4851,14
6018,14
814,7
6782,13
2801,11
871,12
2826,14
7673,14
9234,14
8651,12
8468,12
5340,14
9598,12
4565,7
2426,12
9813,12
4272,12
6547,14
6103,14
738,13
9941,12
2570,5
1321,14
9921,11
4974,13
6950,14
7374,6
242,14
234,11
1499,4
7604,10
2431,12
6621,4
4594,12
1465,11
2659,11
2701,13
8495,12
4494,7
9360,13
181,14
9247,13
7215,12
5196,12
8016,7
4452,13
4315,11
8339,13
5597,14
8523,13
1575,9
7451,12
6296,14
8770,12
115,11
7228,13
3852,11
7572,12
5974,11
258,14
9804,14
31,14
7089,4
4068,12
9623,12
1040,14
33,14
14,12
5744,6
4415,7
3522,12
6854,12
3561,10
7535,7
8377,14
663,10
1229,9
841,14
4075,14
6150,7
3244,12
1798,14
8908,12
2677,8
6409,12
7865,7
3192,14
9069,14
3859,14
8543,14
2023,10
5574,14
9013,14
3038,14
1681,7
60,9
8325,12
9537,12
2811,12
9232,12
6258,13
133,4
3285,14
8546,14
9089,10
3622,12
8266,7
3530,12
1224,7
9058,14
2511,14
8586,12
8213,14
7875,13
689,13
9574,9
6546,14
7793,12
5333,12
4710,12
3407,8
7811,13
486,14
1849,14
1969,10
7343,12
8107,7
9613,14
9847,13
3432,12
7307,12
5379,13
2526,7
1056,14
7967,14
1168,12
3008,14
8864,12
4091,14
8954,14
2076,13
6784,13
5755,14
1493,4
5885,7
7123,13
7597,13
123,8
3453,10
4761,13
9073,12
6031,13
9258,13
1490,14
8433,12
5459,14
2028,13
4253,12
7567,13
7342,14
8251,7
6362,14
7102,12
9033,13
8089,14
4358,13
588,4
686,12
2938,14
340,13
5654,13
5719,12
3535,13
9263,13
7521,14
9875,13
9958,14
235,12
6390,13
453,12
2113,12
7900,7
548,13
6675,10
7253,7
9878,6
3263,13
3099,12
8573,14
9769,13
8868,14
2413,12
5081,14
4409,13
7418,12
6225,7
8942,14
7840,12
3910,12
6402,13
6310,12
8007,6
9290,5
3346,10
78,13
7047,5
7654,14
955,12
6817,7
1058,13
7275,13
2806,14
390,12
2018,10
3380,13
8343,12
72,13
1463,14
5589,13
8156,7
5697,4
7792,14
2257,3
6490,13
2220,4
6521,12
9737,12
5135,13
9839,14
5344,12
8944,12
6838,12
1947,12
3826,13
1780,14
7258,14
2794,12
7147,12
4277,14
3261,2
5471,13
6428,14
7740,12
7297,14
9973,12
8492,12
9698,13
7574,5
2557,12
6697,12
7474,14
8849,7
9770,5
1136,12
94,13
767,13
2532,7
6179,12
8441,12
1973,14
1238,9
3545,13
1272,13
4048,14
9295,7
7112,12
7731,14
6888,11
6355,12
7600,12
7084,14
3204,12
2646,9
5482,13
3572,14
5554,13
3682,7
1654,13
5829,14
9879,14
6366,10
8827,14
6424,5
8331,13
367,9
1511,14
7782,13
1930,10
9166,12
2480,11
2197,12
5354,13
3484,13
6959,14
5428,14
6941,12
3528,6
3333,13
2106,13
6809,7
7815,12
4103,14
9726,8
9898,7
9129,12
3259,12
8484,10
9436,7
6604,14
5355,12
2727,10
8576,14
1915,14
1026,12
9960,12
1156,14
7314,12
622,10
5016,12
8017,13
3310,14
5249,14
1414,5
6660,7
3378,12
4225,7
4827,13
7214,13
7960,14
8124,13
6720,9
7891,13
6869,14
7126,14
172,9
3404,11
6299,14
6852,14
170,6
29,12
3717,11
8094,7
4004,7
1063,12
2740,13
5378,13
9403,13
8721,7
5994,13
1913,14
5836,10
6365,11
6673,7
1069,13
8746,12
1444,12
131,11
8136,14
1137,13
8704,12
2989,13
9764,9
9164,13
2168,10
7852,13
7080,7
5021,14
8394,9
3735,13
3800,7
9510,12
8095,14
8806,12
8129,7
7219,12
2328,12
5060,14
1875,11
2105,13
1662,13
6827,11
1921,7
3431,14
3745,14
1406,10
1658,9
7396,12
2122,11
6923,14
7262,12
9031,14
6951,14
5515,13
8219,7
8820,13
3932,11
37,9
4748,12
8769,12
6177,14
5392,7
6088,7
9245,14
3250,8
7601,12
6974,14
4643,12
8679,14
3801,5
4236,14
840,12
3743,13
4804,14
5871,11
6637,13
1919,12
2241,14
4079,7
5736,13
1362,8
3426,14
5266,13
4203,12
6931,12
6866,12
3638,11
8004,14
2904,14
173,14
1673,12
8355,11
6581,14
4148,14
9784,11
899,11
8996,13
6043,14
8905,12
6647,14
4838,12
3070,11
8060,13
2983,12
1868,13
7201,5
1883,14
1316,11
2984,6
3865,12
6420,12
2320,14
490,14
5331,12
8593,5
9685,13
2951,11
8039,6
7741,12
8607,14
4739,7
732,11
2374,13
3055,12
1942,12
9576,12
4473,13
5995,6
1924,14
9977,12
2867,14
6479,12
5658,14
5262,14
6037,14
62,14
9233,14
2733,10
4096,12
1704,13
465,10
3630,14
4480,12
6927,14
644,9
2969,12
3103,14
8182,12
6408,12
5360,10
3467,13
7835,12
8083,12
6017,14
2704,13
6193,12
7103,14
8186,5
4287,12
2114,14
4055,13
5383,14
6801,14
3500,14
1434,14
3475,12
236,9
7831,14
2009,10
3900,13
4317,14
6160,13
8956,13
9041,14
736,8
7304,12
2035,14
5939,13
9797,12
8611,12
4309,14
4231,14
8807,12
4472,7
9995,6
7569,14
9138,14
5332,7
5848,13
2129,10
8074,14
1597,14
2907,14
1023,11
9983,14
59,3
311,12
3169,2
2,7
8201,14
8517,14
332,10
5064,12
5345,14
175,12
6991,12
2965,12
2858,14
3349,11
1387,14
2831,13
6309,7
1796,14
221,5
8350,7
4274,12
8413,13
3364,14
4371,12
9829,12
331,8
5769,6
9242,7
3815,12
505,10
8872,14
5496,8
4400,13
576,13
2936,14
5265,13
281,13
2894,14
2054,13
9632,14
100,13
8545,12
8497,10
8284,12
6691,12
7344,12
8084,14
1277,14
3529,12
4417,14
778,9
3700,13
5008,12
8282,12
3510,13
4955,14
3236,11
9473,12
7024,13
433,11
329,13
759,11
368,11
4692,12
9369,12
8986,7
2590,12
3984,13
8731,14
4904,12
7078,12
2809,12
1668,12
3313,14
530,14
4740,7
1885,14
3389,8
7207,14
7677,13
2782,11
7591,12
1985,6
7620,12
8347,12
7164,12
4032,14
5411,12
