,carat,cut,color,clarity,depth,table,x,y,z,price
1,0.23,Ideal,E,SI2,61.5,55,3.95,3.98,2.43,326
2,0.21,Premium,E,SI1,59.8,61,3.89,3.84,2.31,326
3,0.23,Good,E,VS1,56.9,65,4.05,4.07,2.31,327
4,0.29,Premium,I,VS2,62.4,58,4.2,4.23,2.63,334
5,0.31,Good,J,SI2,63.3,58,4.34,4.35,2.75,335
6,0.24,Very Good,J,VVS2,62.8,57,3.94,3.96,2.48,336
7,0.24,Very Good,I,VVS1,62.3,57,3.95,3.98,2.47,336
8,0.26,Very Good,H,SI1,61.9,55,4.07,4.11,2.53,337
9,0.22,Fair,E,VS2,65.1,61,3.87,3.78,2.49,337
10,0.23,Very Good,H,VS1,59.4,61,4,4.05,2.39,338
11,0.3,Good,J,SI1,64,55,4.25,4.28,2.73,339
12,0.23,Ideal,J,VS1,62.8,56,3.93,3.9,2.46,340
13,0.22,Premium,F,SI1,60.4,61,3.88,3.84,2.33,342
14,0.31,Ideal,J,SI2,62.2,54,4.35,4.37,2.71,344
15,0.2,Premium,E,SI2,60.2,62,3.79,3.75,2.27,345
16,0.32,Premium,E,I1,60.9,58,4.38,4.42,2.68,345
17,0.3,Ideal,I,SI2,62,54,4.31,4.34,2.68,348
18,0.3,Good,J,SI1,63.4,54,4.23,4.29,2.7,351
19,0.3,Good,J,SI1,63.8,56,4.23,4.26,2.71,351
20,0.3,Very Good,J,SI1,62.7,59,4.21,4.27,2.66,351
21,0.3,Good,I,SI2,63.3,56,4.26,4.3,2.71,351
22,0.23,Very Good,E,VS2,63.8,55,3.85,3.92,2.48,352
23,0.23,Very Good,H,VS1,61,57,3.94,3.96,2.41,353
24,0.31,Very Good,J,SI1,59.4,62,4.39,4.43,2.62,353
25,0.31,Very Good,J,SI1,58.1,62,4.44,4.47,2.59,353
26,0.23,Very Good,G,VVS2,60.4,58,3.97,4.01,2.41,354
27,0.24,Premium,I,VS1,62.5,57,3.97,3.94,2.47,355
28,0.3,Very Good,J,VS2,62.2,57,4.28,4.3,2.67,357
29,0.23,Very Good,D,VS2,60.5,61,3.96,3.97,2.4,357
30,0.23,Very Good,F,VS1,60.9,57,3.96,3.99,2.42,357
31,0.23,Very Good,F,VS1,60,57,4,4.03,2.41,402
32,0.23,Very Good,F,VS1,59.8,57,4.04,4.06,2.42,402
33,0.23,Very Good,E,VS1,60.7,59,3.97,4.01,2.42,402
34,0.23,Very Good,E,VS1,59.5,58,4.01,4.06,2.4,402
35,0.23,Very Good,D,VS1,61.9,58,3.92,3.96,2.44,402
36,0.23,Good,F,VS1,58.2,59,4.06,4.08,2.37,402
37,0.23,Good,E,VS1,64.1,59,3.83,3.85,2.46,402
38,0.31,Good,H,SI1,64,54,4.29,4.31,2.75,402
39,0.26,Very Good,D,VS2,60.8,59,4.13,4.16,2.52,403
40,0.33,Ideal,I,SI2,61.8,55,4.49,4.51,2.78,403
41,0.33,Ideal,I,SI2,61.2,56,4.49,4.5,2.75,403
42,0.33,Ideal,J,SI1,61.1,56,4.49,4.55,2.76,403
43,0.26,Good,D,VS2,65.2,56,3.99,4.02,2.61,403
44,0.26,Good,D,VS1,58.4,63,4.19,4.24,2.46,403
45,0.32,Good,H,SI2,63.1,56,4.34,4.37,2.75,403
46,0.29,Premium,F,SI1,62.4,58,4.24,4.26,2.65,403
